"","time","year","month","day","hour","min","sec","lat","long","gpsnum"
"39474","2008-08-15T23:42:41Z",2008,8,15,23,42,41,10.1725707203,124.177570771,2
"39475","2008-08-15T23:43:08Z",2008,8,15,23,43,8,10.1725675352,124.177584937,2
"39476","2008-08-15T23:43:17Z",2008,8,15,23,43,17,10.1726735663,124.17746692,2
"39477","2008-08-15T23:43:41Z",2008,8,15,23,43,41,10.1725661941,124.177586362,2
"39478","2008-08-15T23:44:07Z",2008,8,15,23,44,7,10.1725713909,124.17757798,2
"39479","2008-08-15T23:45:27Z",2008,8,15,23,45,27,10.1724921819,124.177591726,2
"39480","2008-08-15T23:45:28Z",2008,8,15,23,45,28,10.1724913437,124.177605053,2
"39481","2008-08-15T23:45:58Z",2008,8,15,23,45,58,10.1725353487,124.177595247,2
"39482","2008-08-15T23:46:30Z",2008,8,15,23,46,30,10.172525458,124.177644784,2
"39483","2008-08-15T23:46:35Z",2008,8,15,23,46,35,10.1725197583,124.177640676,2
"39484","2008-08-16T01:06:11Z",2008,8,16,1,6,11,10.1728157233,124.177703541,2
"1","2008-08-16T01:06:15Z",2008,8,16,1,6,15,10.1727775857,124.177700272,1
"2","2008-08-16T01:06:32Z",2008,8,16,1,6,32,10.1727928407,124.177698847,1
"39485","2008-08-16T01:06:39Z",2008,8,16,1,6,39,10.1728236862,124.177710917,2
"3","2008-08-16T01:06:47Z",2008,8,16,1,6,47,10.172813544,124.177691555,1
"4","2008-08-16T01:07:02Z",2008,8,16,1,7,2,10.172831649,124.177701781,1
"39486","2008-08-16T01:07:08Z",2008,8,16,1,7,8,10.1728212554,124.177696919,2
"5","2008-08-16T01:07:17Z",2008,8,16,1,7,17,10.172833493,124.177710162,1
"6","2008-08-16T01:07:32Z",2008,8,16,1,7,32,10.1728363428,124.177719466,1
"39487","2008-08-16T01:07:45Z",2008,8,16,1,7,45,10.1728162263,124.177699685,2
"7","2008-08-16T01:07:47Z",2008,8,16,1,7,47,10.172822345,124.177701278,1
"8","2008-08-16T01:08:02Z",2008,8,16,1,8,2,10.1728806831,124.177711671,1
"9","2008-08-16T01:08:17Z",2008,8,16,1,8,17,10.1728503406,124.177718628,2
