"","Leyte_b","Leyte_r","Leyte_r2","Leyte_p","Cebu_b","Cebu_r","Cebu_r2","Cebu_p"
"noAC1359",4.0876344155636e-05,0.347671394592232,0.127573870112791,0.061,9.12619191887152e-06,0.181945565095647,0.0149912658275820,0.118
"noAC1578",7.0195942344453e-05,0.51282369162935,0.266904047453498,0.012,7.93063045658753e-06,0.186433905230350,0.0108801523067635,0.109
"noAC915",7.51548070743546e-05,0.536091936131006,0.301705015290539,0.018,9.11879303402303e-06,0.200250577847592,0.0164670966977778,0.095
"noACH_B6",7.91722376961108e-05,0.531368512962928,0.307652666363799,0.025,9.48549301617405e-06,0.212805340344026,0.0185243629430668,0.074
"noACH_C1",7.03515346148845e-05,0.484530148166829,0.252549226831624,0.035,7.53168696921466e-06,0.169034624103999,0.0100518534334348,0.141
"noACH_D1",7.7195144975754e-05,0.521511935023601,0.283927882775954,0.012,3.582885573355e-06,0.134196666247989,0.00228355890697198,0.189
"noAPR_Cf29",7.9031028887864e-05,0.520153736159751,0.300452840463623,0.014,3.87528802983902e-06,0.128033868523119,0.00270176322986153,0.207
"noAPR_Cf8",7.98597801865548e-05,0.564099046691552,0.307402331558001,0.009,9.48153117358752e-06,0.164907440397935,0.0159382590677956,0.147
"noAPY_45",7.0443281940487e-05,0.57479677202786,0.338192545840990,0.006,1.32506173759531e-05,0.257655762122719,0.0286835360518902,0.05
"noAPY_65",8.69470787183902e-05,0.560215571323681,0.339350304030734,0.011,1.17417291236026e-05,0.257038985620299,0.0268383616259531,0.056
"noNNG_004",7.7118697796225e-05,0.532341504905391,0.310415551858546,0.012,9.02005439845823e-06,0.229977144264289,0.0168301686882986,0.083
"noNNG_012",7.37885483720024e-05,0.56073074062202,0.335595432464860,0.011,2.61287912773316e-06,0.131039320160772,0.00180446404553063,0.198
"noNNG_028",7.93893227560335e-05,0.5891692616719,0.351766107110457,0.007,8.11699626363419e-06,0.153019082330796,0.0118247716713784,0.175
