FST,1,2,7,8,9,10,11,13,14,15,19,22
1,0,,,,,,,,,,,
2,0.00125,0,,,,,,,,,,
7,0.01029,0.0096,0,,,,,,,,,
8,0.01182,0.00015,-0.00355,0,,,,,,,,
9,0.01668,0.0074,0.00474,-0.00222,0,,,,,,,
10,-0.00029,0.00165,0.00276,-0.0011,-0.00225,0,,,,,,
11,0.00618,0.00104,0.00053,-0.0074,0.00718,-0.00468,0,,,,,
13,0.00534,-0.0111,-0.03185,-0.02499,-0.01527,-0.02564,-0.02834,0,,,,
14,0.01556,-0.00168,-0.01803,0.00309,-0.03458,-0.01804,-0.03161,-0.07113,0,,,
15,-0.00492,-0.04705,-0.02922,-0.03787,-0.0367,-0.03568,-0.04681,-0.05785,-0.04348,0,,
19,0.01248,0.01053,-0.00357,-0.00834,0.00138,-0.00221,0.00768,-0.03003,-0.0158,0.00319,0,
22,0.02364,0.05345,0.0042,0.0081,0.02843,0.01032,0.03243,-0.00369,0.03955,0.09595,-0.02041,0
