"","Leyte_b","Leyte_r","Leyte_r2","Leyte_p","Cebu_b","Cebu_r","Cebu_r2","Cebu_p"
"No 1",4.77322928564455e-05,0.409604875934145,0.167776154389026,0.0262,-1.02555325561515e-07,-0.00145130869817675,2.10629693740344e-06,0.5029
"No 2",0.000113031598834829,0.630478431044272,0.397503052012047,0.0107,2.26488316702893e-05,0.243570374710277,0.0593265274365046,0.1048
"No 3",9.43201579686896e-05,0.58792306098093,0.345653525633186,0.0058,1.66406417634215e-05,0.18276374375924,0.0334025860328931,0.1764
"No 4",8.58499399986249e-05,0.527041035807248,0.277772253424777,0.0269,1.80465429310058e-05,0.235821365306241,0.0556117163348994,0.0909
"No 5",7.99269171313087e-05,0.526764303398248,0.277480631334641,0.0194,1.94533044635519e-05,0.243113099400267,0.0591039791000039,0.073
"No 6",7.56647842937489e-05,0.502332377558607,0.252337817543683,0.0277,1.60831443323206e-05,0.220936271718548,0.0488128361608921,0.0875
"No 7",9.22655593527612e-05,0.531791754288006,0.282802469928715,0.0258,1.37367304712507e-05,0.162578362350013,0.0264317239044121,0.1726
"No 8",0.000163756734044898,0.744040714649402,0.553596585055993,0.0019,1.06760353946881e-05,0.119194657014908,0.0142073662609015,0.2567
"No 9",0,0,0,0,2.54276938283636e-05,0.26988441042111,0.07283759498835,0.0907
"No 10",0,0,0,0,1.97775695730389e-05,0.204245273379144,0.0417161316977214,0.1245
