FST,1,2,7,8,9,10,11,13,14,15,19,22
1,,,,,,,,,,,,
2,0.0026,,,,,,,,,,,
7,0.0066,0.0053,,,,,,,,,,
8,0.0072,0.0017,-0.0006,,,,,,,,,
9,0.0115,0.0048,0.0008,-0.0008,,,,,,,,
10,0,0.0061,0.0062,0.0027,-0.0019,,,,,,,
11,0.0023,-0.0021,-0.002,-0.006,-0.0007,-0.0055,,,,,,
13,-0.0083,-0.0103,-0.0284,-0.0262,-0.0203,-0.0278,-0.0333,,,,,
14,-0.0064,0.0028,-0.0227,0.0078,-0.0384,-0.0199,-0.0397,-0.0818,,,,
15,-0.0267,-0.0035,-0.0105,-0.0148,-0.0305,-0.0305,-0.061,-0.0388,-0.2571,,,
19,0.0139,0.0079,-0.0032,-0.0058,0.0023,0.0074,0.0083,-0.0216,-0.0004,0.0421,,
22,0.0113,0.0356,-0.0126,0.0074,0.0091,0.0059,0.0049,-0.0008,-0.0128,0.1,-0.0228,
