// PRBI_create_2009-10-29
159	0	2	16	3	2
0
Indiv	X	Y	A1_AC1359	A1_AC1578	A1_APR_Cf29	A1_NNG_012	A1_ACH_A11	A1_ACH_A4	A1_ACH_B9	A1_NNG_028	A1_ACH_A7	A1_ACH_C1	A1_ACH_D1	A1_ACH_A3	A1_ACH_A8	A1_NNG_004	A1_NNG_007	A1_APR_Cf39
PRBI51	534316.321795376	1040687.41889068	020020	001002	003009	004005	007009	001005	0090010	001001	002002	001002	021022	002002	001007	002002	005005	000000
PRBI71	534681.46031409	1040558.34458592	020020	002002	006006	004004	003021	001002	006009	001021	002004	002005	020022	002002	001012	001002	006007	007007
PRBI72	534681.46031409	1040558.34458592	020020	002002	003004	004004	001005	003005	001009	001029	002004	001002	017022	002002	007007	002002	004004	005009
PRBI73	536100.912266438	1040335.06574444	020020	001002	003005	004005	006021	002002	0060010	023023	002004	002005	022032	002002	007012	002002	004005	005009
PRBI74	536100.912266438	1040335.06574444	019020	002002	003003	004004	005016	003007	0060010	021032	002005	002005	018018	002002	007007	002002	005005	005005
PRBI75	533862.883054189	1040867.35556111	019020	002002	002006	004004	003006	005005	002006	001001	003005	002006	016029	001002	007007	002002	005006	007009
PRBI76	533862.883054189	1040867.35556111	019020	001001	003006	004005	001003	001002	002006	001021	002004	000000	000000	002002	007012	002002	005005	005005
PRBI77	533885.171565275	1040865.39670222	019020	001002	003006	005005	003021	003003	001001	001002	002002	001002	001017	002002	001007	002002	005006	0070010
PRBI78	534007.036216529	1040789.85886172	019020	001001	0030010	005005	003005	002009	001009	021031	002004	002006	001024	001002	001007	002002	004004	005009
PRBI79	534007.036216529	1040789.85886172	020020	001002	003003	005005	015021	002002	001006	001002	002002	002005	000000	001001	001012	002002	005005	009009
PRBI80	534067.919492292	1040758.09175223	020020	001002	003006	004004	003003	002005	006006	001021	002002	002002	000000	001001	001012	002002	005005	005009
PRBI81	534237.232962975	1040697.27349153	020020	001002	004006	004004	001003	001002	013014	001021	002002	002005	025033	001002	001007	002002	005005	005005
PRBI82	534355.973900307	1040666.42717428	020020	001002	002003	004004	003003	002009	0050010	001001	002004	002005	015018	002002	001007	002002	005005	005005
PRBI83	534388.560067966	1040652.84519555	020020	001002	003003	004005	003007	002002	0010010	001001	002002	002002	001024	001002	001003	001002	005006	0070010
PRBI84	538086.671286701	1041127.06617709	020020	000000	003009	004005	009021	001002	001001	001033	002004	004005	017018	001002	001001	002002	004006	005009
PRBI85	537941.611894501	1041036.14860975	020020	001001	006009	004004	001003	003003	009013	001001	002002	002004	000000	002002	007007	002002	005006	0050010
PRBI137	553227.732130072	1065221.82151076	019020	001002	003003	004004	003006	000000	006006	001001	002002	002005	025033	001002	001007	002002	007007	009009
PRBI138	553227.732130072	1065221.82151076	019020	001002	006009	004005	003006	002003	001001	001021	002004	002002	021021	001002	007012	002002	005005	000000
PRBI146	553515.847343134	1065888.96746666	000000	000000	000000	006006	003021	002002	013013	001001	003004	002005	017017	001002	001001	001001	004005	000000
