Sample File	Sample Name	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Size 1	Size 2	Height 1	Height 2	Peak Area 1	Peak Area 2	Data Point 1	Data Point 2	ADO	AE	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	XTLK	GQ	UD1	UD2	UD3
B12_APCL141.fsa	APCL141	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
G12_APCL142.fsa	APCL142	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
A12_APCL197.fsa	APCL197	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
D11_APCL201.fsa	APCL201	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
F11_APCL205.fsa	APCL205	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
C11_APCL223.fsa	APCL223	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
D12_APCL247.fsa	APCL247	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
E12_APCL251.fsa	APCL251	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
H12_APCL252.fsa	APCL252	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
B11_APCL259.fsa	APCL259	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
F12_APCL315.fsa	APCL315	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
C12_APCL317.fsa	APCL317	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
E11_APCL356.fsa	APCL356	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
G11_APCL470.fsa	APCL470	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
H11_APCL484.fsa	APCL484	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
A11_APCL495.fsa	APCL495	Pinsky_AG19_020509_2009-02-05	Msat53	AC1359	B											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
B01_APCL108.fsa	APCL108	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			254.77	279.49	5975	1360	36228	7685	4302	4646	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
E02_APCL142.fsa	APCL142	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			268.04	269.63	1567	1276	11835	6995	4529	4551	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
C02_APCL143.fsa	APCL143	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			270.89	281.73	3908	2194	23205	13172	4529	4678	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
H02_APCL219.fsa	APCL219	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			267.28	277.19	3447	2250	21098	14773	4617	4758	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
F01_APCL270.fsa	APCL270	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			269.01	269.87	3161	3043	26292	24902	4530	4542	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0.0694			
D01_APCL274.fsa	APCL274	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			267.27	268.2	6049	4159	49846	35028	4533	4546	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0.0694			
A01_APCL292.fsa	APCL292	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			269.2	279.53	1568	747	9739	4139	4517	4662	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
B02_APCL296.fsa	APCL296	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			267.23	280.24	3363	1409	19617	8254	4472	4651	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
A02_APCL309.fsa	APCL309	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			265.44	268.77	3606	3178	22353	17617	4466	4512	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
D02_APCL355.fsa	APCL355	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			267.24	283.54	1456	752	8751	4258	4530	4756	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
C01_APCL385.fsa	APCL385	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			270.94	271.88	2997	2397	18539	15639	4532	4545	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0.0694			
