,SurveyNum,Time,Spp,Size,ID,Notes,lat,long
143,9,15:23,PRBI,NA,1,Didn't label tubes ahead of time,10.22835093,124.2491191
144,9,15:23,PRBI,NA,2,Didn't label tubes ahead of time,10.22835093,124.2491191
145,9,15:23,PRBI,NA,3,Didn't label tubes ahead of time,10.22835093,124.2491191
147,9,15:23,PRBI,NA,4,Didn't label tubes ahead of time,10.22835093,124.2491191
148,9,15:23,PRBI,NA,5,Didn't label tubes ahead of time,10.22835093,124.2491191
149,9,15:23,PRBI,NA,6,Didn't label tubes ahead of time,10.22835093,124.2491191
150,10,16:35,PRBI,NA,7,Didn't label tubes ahead of time,10.2288152,124.2476369
1501,10,16:35,PRBI,NA,8,Didn't label tubes ahead of time,10.2288152,124.2476369
151,11,14:21,PRBI,10,9,,10.22862767,124.2494847
152,11,14:32,PRBI,12,10,,10.22821516,124.2492249
1521,11,14:32,PRBI,5,11,,10.22821516,124.2492249
153,11,14:45,PRBI,10,12,,10.22820575,124.2492099
154,11,14:54,PRBI,13,13,,10.22807931,124.2489782
1541,11,14:54,PRBI,6,14,,10.22807931,124.2489782
155,11,15:02,PRBI,12,15,,10.22811432,124.248925
156,11,15:07,PRBI,7,16,,10.22817937,124.2489613
157,11,15:12,PRBI,12,17,,10.2282999,124.2489726
158,11,15:18,PRBI,9,18,,10.22832668,124.2490019
160,11,15:34,PRBI,10,19,,10.22858583,124.2491797
161,11,15:54,PRBI,7,20,,10.2282274,124.2490484
162,12,10:28,APCL,9,21,,10.17643826,124.1775502
163,12,10:34,PRBI,14,22,,10.17649687,124.1776315
164,12,10:38,PRBI,16,23,,10.17652694,124.177668
1643,12,10:38,PRBI,13,24,,10.17652694,124.177668
165,12,10:43,PRBI,15,25,,10.17654745,124.1776984
166,12,10:49,PRBI,14,26,,10.17657371,124.1776794
167,12,10:53,APCL,10,27,,10.1765814,124.1777415
1671,12,10:53,APCL,11,28,,10.1765814,124.1777415
168,12,10:59,PRBI,12,29,,10.17661317,124.1777245
169,12,11:01,PRBI,14,30,,10.17662163,124.1777495
1691,12,11:01,PRBI,9,31,,10.17662163,124.1777495
170,12,11:05,PRBI,9,32,,10.17663006,124.1777914
171,12,11:09,PRBI,12,33,,10.17668227,124.1778581
172,12,11:17,PRBI,15,34,,10.17668582,124.1780528
173,12,11:22,PRBI,9,35,,10.17672477,124.1780656
174,12,11:25,PRBI,6,36,,10.17674438,124.178077
1741,12,11:25,PRBI,14,37,,10.17674438,124.178077
175,12,11:30,APCL,7,38,,10.17673311,124.1781185
1751,12,11:30,APCL,10,39,,10.17673311,124.1781185
176,12,11:33,PRBI,14,40,,10.17673439,124.1781291
1761,12,11:33,PRBI,8,41,,10.17673439,124.1781291
177,12,11:38,PRBI,15,42,,10.17674329,124.1781724
1771,12,11:38,PRBI,9,43,,10.17674329,124.1781724
178,12,11:46,PRBI,13,44,,10.17672538,124.1782157
1781,12,11:46,PRBI,11,45,,10.17672538,124.1782157
179,12,11:51,PRBI,12,46,,10.17676312,124.1782357
180,12,11:55,APCL,8,47,,10.17677232,124.1783412
181,12,12:03,APCL,11,48,,10.17698031,124.1785722
182,13,10:44,APCL,6,49,Corkscrew anemone? purple verrucae in rows,9.414452096,123.3125831
1821,13,10:44,APCL,6,50,Corkscrew anemone? purple verrucae in rows,9.414452096,123.3125831
183,13,10:50,PRBI,12,51,,9.414440696,123.3125731
184,13,11:00,APCL,9,52,,9.414417981,123.3125678
185,13,11:04,APCL,8,53,"Heteractis aurora? Had “grapes” along tentacles, on sand",9.414321338,123.3125906
186,13,11:10,APCL,10,54,,9.4143249,123.3127395
187,13,11:15,APCL,6,55,,9.414363813,123.3127622
188,13,11:18,APCL,8,56,,9.414326451,123.3127639
1881,13,11:18,APCL,7,57,,9.414326451,123.3127639
189,13,11:25,APCL,8,58,,9.414298916,123.3128768
190,14,12:01,APCL,7,59,,9.414151164,123.3137128
1901,14,12:01,APCL,5,60,,9.414151164,123.3137128
191,14,12:07,APCL,8,61,No anemone seen,9.414039727,123.3136802
1911,14,12:07,APCL,7,62,No anemone seen,9.414039727,123.3136802
192,14,12:14,APCL,7,63,,9.414038092,123.3136747
193,14,12:20,APCL,9,64,,9.413968313,123.3136242
194,14,12:23,APCL,7,65,,9.413953791,123.3136534
195,14,12:30,APCL,8,67,lost tube #66,9.413871041,123.3137655
196,14,12:34,APCL,9,68,,9.413871083,123.3137445
1971,14,12:42,APCL,5,69,,9.413822615,123.3140877
197,14,12:42,APCL,9,70,,9.413822615,123.3140877
198,14,13:14,PRBI,12,71,GPS battery died. Latlong was recorded a short time after the sample was taken,9.413270289,123.3158979
1981,14,13:14,PRBI,14,72,GPS battery died. Latlong was recorded a short time after the sample was taken,9.413270289,123.3158979
272,15,15:27,PRBI,11,73,,9.411238977,123.328825
2721,15,15:27,PRBI,5,74,,9.411238977,123.328825
376,17,11:31,PRBI,7,75,,9.416071814,123.3084444
3761,17,11:31,PRBI,13,76,,9.416071814,123.3084444
378,17,11:40,PRBI,8,77,,9.416053919,123.3086474
384,17,11:54,PRBI,12,78,,9.415369725,123.3097568
3841,17,11:54,PRBI,6,79,,9.415369725,123.3097568
386,17,12:05,PRBI,11,80,,9.415081912,123.3103111
393,17,12:29,PRBI,8,81,,9.414530466,123.3118528
397,17,12:43,PRBI,7,82,,9.414250511,123.3129341
398,17,12:48,PRBI,6,83,,9.414127402,123.3132308
456,18,15:05,PRBI,11,84,,9.418385077,123.3469192
471,18,15:25,PRBI,8,85,,9.417564051,123.3455971
497,19,10:18,PRBI,11,86,,9.899220325,123.6083235
4971,19,10:18,PRBI,6,87,,9.899220325,123.6083235
500,19,10:36,APCL,9,88,,9.899667939,123.6086093
5001,19,10:36,APCL,10,89,,9.899667939,123.6086093
501,19,10:41,APCL,8,90,,9.899682754,123.6086295
5011,19,10:41,APCL,7,91,,9.899682754,123.6086295
5012,19,10:41,APCL,4,92,,9.899682754,123.6086295
504,19,11:04,APCL,9,93,,9.900374869,123.6084625
5041,19,11:04,APCL,7,94,,9.900374869,123.6084625
506,19,11:17,APCL,8,95,,9.900452045,123.6082719
507,19,11:24,APCL,6,96,,9.900672405,123.6080943
509,19,11:29,APCL,8,97,,9.900912526,123.6083074
515,20,13:52,PRBI,10,98,,9.871267872,123.6020699
5151,20,13:52,PRBI,5,99,,9.871267872,123.6020699
516,20,14:10,APCL,4,100,,9.87059644,123.6018888
517,20,14:15,APCL,9,101,,9.87064692,123.6018254
5171,20,14:15,APCL,9,102,,9.87064692,123.6018254
522,20,15:01,APCL,6,103,,9.869628267,123.5980255
5221,20,15:01,APCL,6,104,,9.869628267,123.5980255
5222,20,15:01,APCL,5,105,,9.869628267,123.5980255
5223,20,15:01,APCL,4,106,,9.869628267,123.5980255
524,20,15:09,APCL,4,107,,9.869392077,123.5973837
526,20,15:15,APCL,6,108,,9.869167769,123.5968019
529,21,16:22,PRBI,5,109,,9.866184499,123.5894044
5291,21,16:22,PRBI,13,110,,9.866184499,123.5894044
531,21,16:38,APCL,8,111,,9.865211046,123.5883984
536,22,9:54,PRBI,11,112,,9.833411444,123.5690497
537,22,10:08,PRBI,12,113,,9.832887513,123.5691369
5371,22,10:08,PRBI,6,114,,9.832887513,123.5691369
538,22,10:16,PRBI,14,115,,9.832646369,123.5689489
547,22,10:35,PRBI,10,116,,9.832660528,123.5684931
551,22,10:44,PRBI,5,117,,9.833037084,123.5685467
5511,22,10:44,PRBI,12,118,,9.833037084,123.5685467
554,22,11:08,PRBI,10,119,Samples taken after survey ended. Use ave lat/long of this circular survey,9.832977396,123.5688171
5541,22,11:08,PRBI,5,120,Samples taken after survey ended. Use ave lat/long of this circular survey,9.832977396,123.5688171
555,22,11:24,PRBI,12,121,Samples taken after survey ended. Use ave lat/long of this circular survey,9.832977396,123.5688171
564,23,12:58,PRBI,13,122,,9.842880105,123.5682753
5641,23,12:58,PRBI,6,123,,9.842880105,123.5682753
636,25,10:30,APCL,7,124,,9.634901786,123.484704
6361,25,10:30,APCL,8,125,,9.634901786,123.484704
658,25,10:58,APCL,5,126,Not clear exactly to which anemones these fish belong,9.635981626,123.4850874
6581,25,10:58,APCL,7,127,Not clear exactly to which anemones these fish belong,9.635981626,123.4850874
657,25,10:57,APCL,6,128,Not clear exactly to which anemones these fish belong,9.635942923,123.4850802
6583,25,10:58,APCL,7,129,Not clear exactly to which anemones these fish belong,9.635981626,123.4850874
6582,25,10:58,APCL,8,130,Not clear exactly to which anemones these fish belong,9.635981626,123.4850874
659,25,11:24,APCL,10,131,,9.63597469,123.4850896
638,25,11:31,APCL,8,132,,9.636083592,123.4850902
639,25,11:34,APCL,7,133,,9.636081036,123.4850745
6391,25,11:34,APCL,6,134,,9.636081036,123.4850745
6392,25,11:34,APCL,6,135,,9.636081036,123.4850745
6393,25,11:34,APCL,4,136,,9.636081036,123.4850745
642,25,11:44,PRBI,10,137,,9.636147399,123.4851389
6421,25,11:44,PRBI,6,138,,9.636147399,123.4851389
661,25,11:44,APCL,8,139,,9.636147399,123.4851389
643,25,11:58,APCL,6,140,,9.636371825,123.4852872
667,25,12:04,APCL,8,141,,9.636560543,123.4853582
687,26,14:15,APCL,6,142,,9.636718899,123.4854225
6871,26,14:15,APCL,7,143,,9.636718899,123.4854225
668,26,14:26,APCL,11,144,,9.636765125,123.4854166
6681,26,14:26,APCL,8,145,,9.636765125,123.4854166
758,26,16:05,PRBI,12,146,,9.642177655,123.4877735
830,27,17:36,PRBI,10,147,,9.648047041,123.4900545
8301,27,17:36,PRBI,6,148,,9.648047041,123.4900545
861,28,8:56,PRBI,8,149,,9.607030114,123.4736966
879,28,9:43,PRBI,9,150,,9.609446889,123.4743452
8791,28,9:43,PRBI,5,151,,9.609446889,123.4743452
852,28,10:04,PRBI,12,152,,9.610306181,123.4745778
8521,28,10:04,PRBI,6,153,,9.610306181,123.4745778
930,29,11:39,PRBI,10,154,,9.601762632,123.4776618
9301,29,11:39,PRBI,5,155,,9.601762632,123.4776618
903,29,11:53,PRBI,8,156,,9.601981882,123.4774901
942,29,12:03,PRBI,7,157,,9.602027794,123.477198
909,29,12:28,PRBI,11,158,,9.602639715,123.4758351
9091,29,12:28,PRBI,8,159,,9.602639715,123.4758351
1050,31,10:26,PRBI,5,160,,10.22757323,123.8172369
10501,31,10:26,PRBI,11,161,,10.22757323,123.8172369
1046,31,11:05,APCL,4,162,,10.22717813,123.8195234
1047,31,11:34,APCL,5,163,,10.2274436,123.8199316
1053,31,11:40,PRBI,3,164,,10.22754136,123.8199307
1048,31,11:44,APCL,6,165,,10.227555,123.8199217
10481,31,11:44,APCL,8,166,,10.227555,123.8199217
1049,31,11:55,PRBI,6,167,,10.22783797,123.8198529
1062,32,13:54,PRBI,12,168,,10.22062164,123.7915878
10621,32,13:54,PRBI,7,169,,10.22062164,123.7915878
1072,32,14:21,PRBI,8,170,,10.22062754,123.7903636
1074,33,15:34,APCL,7,171,,10.22276784,123.7839616
1075,33,15:37,APCL,9,172,,10.22279611,123.783985
10751,33,15:37,APCL,8,173,,10.22279611,123.783985
1076,33,16:20,PRBI,9,174,,10.22208442,123.7832907
10791,33,15:44,PRBI,13,175,,10.22266332,123.78395
1077,33,16:39,APCL,8,176,,10.22248116,123.7825489
10771,33,16:39,APCL,6,177,,10.22248116,123.7825489
1088,33,17:03,PRBI,10,178,,10.22365936,123.7831492
1096,34,10:28,PRBI,6,179,,10.22816174,123.8173937
1097,34,10:34,PRBI,5,180,,10.22810107,123.8174473
1079,33,15:44,PRBI,6,181,,10.22266332,123.78395
1090,34,10:54,APCL,10,182,,10.22775575,123.8172531
1091,34,11:10,PRBI,13,183,,10.22794016,123.8170752
10911,34,11:10,PRBI,8,184,,10.22794016,123.8170752
1098,35,12:55,PRBI,11,185,,10.22574859,123.8050193
10981,35,12:55,PRBI,7,186,,10.22574859,123.8050193
1099,35,13:23,APCL,8,187,,10.22506543,123.8048462
1101,35,13:28,PRBI,11,188,,10.22511532,123.8047687
11011,35,13:28,PRBI,5,189,,10.22511532,123.8047687
1100,35,13:27,APCL,8,190,,10.22508922,123.8047895
11001,35,13:27,APCL,8,191,,10.22508922,123.8047895
11002,35,13:27,APCL,6,192,,10.22508922,123.8047895
11003,35,13:27,APCL,7,193,,10.22508922,123.8047895
1102,35,13:51,APCL,8,194,,10.2252326,123.8046048
11021,35,13:51,APCL,4,195,,10.2252326,123.8046048
1106,36,15:42,APCL,9,196,,10.2268645,123.7961209
1109,36,16:25,APCL,9,197,,10.22646353,123.796555
11091,36,16:25,APCL,9,198,,10.22646353,123.796555
1111,37,11:01,APCL,9,199,,10.05841949,123.6385534
11111,37,11:01,APCL,8,200,,10.05841949,123.6385534
11112,37,11:01,APCL,3,201,,10.05841949,123.6385534
1117,37,11:11,APCL,7,202,,10.05837861,123.6385757
11171,37,11:11,APCL,5,203,,10.05837861,123.6385757
11172,37,11:11,APCL,8,204,,10.05837861,123.6385757
11173,37,11:11,APCL,8,205,,10.05837861,123.6385757
1113,37,11:47,APCL,10,206,,10.05859151,123.6386881
11131,37,11:47,APCL,8,207,,10.05859151,123.6386881
1114,37,11:57,APCL,6,208,,10.05913155,123.6385915
1126,38,13:21,PRBI,7,209,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
1121,38,13:28,PRBI,8,210,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
11211,38,13:28,PRBI,13,211,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
1127,38,13:37,APCL,8,212,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
1128,38,13:44,PRBI,10,213,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
11281,38,13:44,PRBI,4,214,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
1130,38,13:57,PRBI,5,215,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
11301,38,13:57,PRBI,9,216,GPS was off. Use position recorded after survey ended,10.06561152,123.6413667
1138,39,15:34,APCL,10,217,,10.05101374,123.6350463
11381,39,15:34,APCL,9,218,,10.05101374,123.6350463
1135,39,16:00,APCL,10,219,,10.05181987,123.6352424
1139,39,16:09,APCL,8,220,,10.05208141,123.6355666
1161,40,9:05,APCL,9,221,,10.07596761,123.6593001
1147,40,9:10,APCL,6,222,,10.07602364,123.6593172
11471,40,9:10,APCL,9,223,,10.07602364,123.6593172
11472,40,9:10,APCL,10,224,,10.07602364,123.6593172
1163,40,9:23,APCL,9,225,,10.07646533,123.6594767
1150,40,9:36,PRBI,9,226,,10.07683118,123.6597642
11501,40,9:36,PRBI,14,227,,10.07683118,123.6597642
1152,40,9:48,PRBI,12,228,,10.07692866,123.6598038
11521,40,9:48,PRBI,6,229,,10.07692866,123.6598038
1153,40,10:09,PRBI,10,230,,10.07713651,123.6602326
1170,40,10:17,PRBI,10,231,,10.07717766,123.6602701
11701,40,10:17,PRBI,4,232,,10.07717766,123.6602701
1176,41,11:05,PRBI,12,233,,10.07732586,123.6613898
1189,41,11:33,PRBI,5,234,,10.07728099,123.6622542
11891,41,11:33,PRBI,10,235,,10.07728099,123.6622542
1180,41,11:43,PRBI,9,236,,10.0772334,123.6623894
1181,41,11:52,PRBI,8,237,,10.0773132,123.662621
1191,41,11:55,PRBI,5,238,,10.07735197,123.6626574
11911,41,11:55,PRBI,10,239,,10.07735197,123.6626574
1202,42,13:37,APCL,6,240,,10.55565574,124.0406176
12021,42,13:37,APCL,5,241,,10.55565574,124.0406176
12022,42,13:37,APCL,4,242,,10.55565574,124.0406176
1192,42,13:50,APCL,9,243,,10.55592435,124.040888
1195,42,14:04,APCL,6,244,,10.55706798,124.0408723
1197,42,14:12,APCL,10,245,,10.55712489,124.04077
1198,42,14:27,APCL,8,246,,10.55825498,124.0405153
11981,42,14:27,APCL,5,247,,10.55825498,124.0405153
12081,42,14:41,APCL,9,248,,10.55905554,124.0405115
1208,42,14:41,APCL,9,249,,10.55905554,124.0405115
1201,42,14:54,APCL,8,250,,10.55978581,124.0405327
12011,42,14:54,APCL,10,251,,10.55978581,124.0405327
12012,42,14:54,APCL,4,252,,10.55978581,124.0405327
1212,43,15:35,APCL,8,253,,10.5615466,124.0402441
1229,43,15:49,APCL,9,254,,10.5624569,124.0404172
12291,43,15:49,APCL,10,255,,10.5624569,124.0404172
12292,43,15:49,APCL,5,256,,10.5624569,124.0404172
1216,43,15:59,APCL,9,257,,10.56260775,124.040356
1218,43,16:08,APCL,7,258,,10.56323692,124.0404563
12181,43,16:08,APCL,8,259,,10.56323692,124.0404563
1294,45,11:06,PRBI,11,260,,10.48735179,124.0284745
12941,45,11:06,PRBI,6,261,,10.48735179,124.0284745
1301,45,11:27,PRBI,10,262,,10.48820025,124.0287077
13011,45,11:27,PRBI,5,263,,10.48820025,124.0287077
1315,49,11:04,APCL,6,264,,10.17317677,124.7494457
13151,49,11:04,APCL,8,265,,10.17317677,124.7494457
13152,49,11:04,APCL,4,266,,10.17317677,124.7494457
1317,49,11:13,APCL,8,267,Added from MLP notes. Other fish present but not recorded.,10.17313321,124.7495348
13171,49,11:13,APCL,12,268,Added from MLP notes. Other fish present but not recorded.,10.17313321,124.7495348
1318,49,11:20,APCL,9,269,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
13181,49,11:20,APCL,9,270,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
13182,49,11:20,APCL,8,271,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
13183,49,11:20,APCL,11,272,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
13184,49,11:20,APCL,5,273,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
13185,49,11:20,APCL,8,274,Added from MLP notes. Other fish present but not recorded.,10.17317591,124.7496487
1316,49,11:42,APCL,8,275,,10.17321173,124.7496949
1335,50,13:34,APCL,9,279,,10.17266263,124.7508512
1319,50,13:42,APCL,10,280,,10.17251429,124.751057
1320,50,13:47,APCL,4,281,,10.17248424,124.7510484
1338,50,13:49,APCL,8,282,,10.1724895,124.7510914
13381,50,13:49,APCL,10,283,,10.1724895,124.7510914
13382,50,13:49,APCL,4,284,,10.1724895,124.7510914
1321,50,14:11,APCL,12,285,,10.17142982,124.7509995
1419,55,13:19,APCL,7,286,,10.00742422,125.0293438
14191,55,13:19,APCL,4,287,,10.00742422,125.0293438
1418,55,13:11,APCL,9,288,,10.00748059,125.0293675
1421,55,13:45,APCL,9,289,,10.0074527,125.0293585
1420,55,13:42,APCL,7,290,,10.00743172,125.0293767
14211,55,13:45,APCL,11,291,,10.0074527,125.0293585
1422,55,13:49,APCL,6,292,,10.00743143,125.0293255
1423,55,13:56,APCL,7,293,,10.00732764,125.0293198
14231,55,13:56,APCL,4,294,,10.00732764,125.0293198
1424,55,14:00,APCL,6,295,,10.00725174,125.0293403
14241,55,14:00,APCL,10,296,,10.00725174,125.0293403
14242,55,14:00,APCL,9,297,,10.00725174,125.0293403
1425,55,14:11,APCL,8,298,,10.00721186,125.0294417
1426,55,14:14,APCL,8,299,,10.00726111,125.0294427
1427,55,14:24,APCL,8,300,,10.00723422,125.0294126
1428,55,14:35,APCL,8,301,,10.00740201,125.0293329
14181,55,13:11,APCL,10,302,,10.00748059,125.0293675
1429,55,14:46,APCL,5,303,,10.0075762,125.0293051
1430,55,15:09,APCL,6,304,,10.00757321,125.0293927
1431,55,15:25,APCL,9,305,,10.0077495,125.0292983
1577,57,13:02,APCL,8,306,,9.962226944,125.2236916
15771,57,13:02,APCL,10,307,,9.962226944,125.2236916
15772,57,13:02,APCL,10,308,,9.962226944,125.2236916
1579,57,13:17,APCL,11,309,,9.962260011,125.2237803
15791,57,13:17,APCL,7,310,,9.962260011,125.2237803
15792,57,13:17,APCL,10,311,,9.962260011,125.2237803
1581,57,13:29,APCL,9,312,,9.962267575,125.2237885
15811,57,13:29,APCL,9,313,,9.962267575,125.2237885
15801,57,13:20,APCL,5,314,,9.962228977,125.223711
15802,57,13:20,APCL,5,315,,9.962228977,125.223711
15803,57,13:20,APCL,6,316,,9.962228977,125.223711
