"","Survey","Observer","Time","Description","cm","Depth","ft","Notes","lat","long"
"1",33,"MLP","15:31","Pipefish1",20,4,NA,"",10.22276111645,123.78398151375
"2",40,"MLP","09:54","Pipefish1",12,6,NA,"",10.076963924775,123.65982557875
"3",40,"MLP","10:05","Pipefish1",12,6.3,NA,"",10.077078274925,123.65996572425
"4",44,"MLP","09:18","Pipefish1",12,5,NA,"",10.493035814725,124.03151168725
"5",44,"MLP","09:18","Pipefish1",15,5,NA,"",10.493035814725,124.03151168725
"6",44,"MLP","09:18","Pipefish1",15,5,NA,"",10.493035814725,124.03151168725
"7",44,"MLP","09:18","Pipefish1",12,5,NA,"",10.493035814725,124.03151168725
"8",44,"GS","09:37","Pipefish1",18,4.5,15,"",10.4918801389,124.030862069
"9",44,"GS","09:39","Pipefish1",18,4.5,15,"",10.491768450025,124.030783698
"10",67,"MLP","14:52","Pipefish1",15,1,NA,"",10.857015182275,124.7248660075
"11",77,"MLP","12:59","Pipefish1",10,9.5,NA,"",10.912191616375,124.389119153
"12",84,"MLP","10:53","Pipefish1",NA,3.8,NA,"",10.7650443725,124.01046066325
"13",87,"MLP","07:22","Pipefish1",12,1.5,NA,"#505",10.765073478675,124.01037261125
"14",87,"MLP","07:22","Pipefish1",12,NA,NA,"",10.765073478675,124.01037261125
"15",95,"MLP","14:40","Pipefish1",12,6.7,NA,"On soft coral",11.34890306275,124.115909343
"16",99,"MLP","14:09","Pipefish1",12,8.5,NA,"",11.216680656675,124.073431387
"17",99,"MLP","14:21","Pipefish1",12,7.5,NA,"",11.217634601025,124.07353320625
"18",99,"MLP","14:59","Pipefish2",12,8,NA,"",11.22003350175,124.07480499225
"19",99,"MLP","15:10","Pipefish1",12,9,NA,"",11.22052367545,124.07535025625
"20",100,"MLP","08:34","Pipefish1",13,4.7,NA,"",11.335280437475,124.1248685495
"21",100,"MLP","08:44","Pipefish1",12,4.7,NA,"",11.3358592498,124.12475878825
"22",100,"MLP","09:30","Pipefish1",11,5.5,NA,"",11.339507473175,124.12266718925
"23",102,"MLP","15:18","Pipefish1",13,4.5,NA,"",11.214893069125,124.07054549775
