FST,7,8,9,10,11,13,14,15,16,17,18,19,20,22,23,24,25,27
7,0,,,,,,,,,,,,,,,,,
8,0.00571,0,,,,,,,,,,,,,,,,
9,-0.00417,-0.00393,0,,,,,,,,,,,,,,,
10,-0.00334,-0.00964,-0.00557,0,,,,,,,,,,,,,,
11,0.00939,-0.00295,-0.004,-0.00177,0,,,,,,,,,,,,,
13,0.0155,0.00289,0.00538,-0.00407,0.00835,0,,,,,,,,,,,,
14,0.0105,-0.00432,-0.00177,-0.0086,0.0013,-0.00035,0,,,,,,,,,,,
15,0.00619,-0.00283,-0.00298,-0.00505,-0.00002,-0.00402,-0.0036,0,,,,,,,,,,
16,-0.00235,-0.00235,-0.00455,-0.00854,0.00455,-0.00293,-0.00154,-0.00533,0,,,,,,,,,
17,0.00548,-0.00052,-0.00126,-0.0118,0.00345,0.00044,-0.00245,-0.00688,0.00013,0,,,,,,,,
18,0.00314,0.01378,-0.00681,0.00985,0.00831,0.02184,0.01028,0.01065,0.01402,0.01969,0,,,,,,,
19,0.00579,-0.00334,-0.0072,-0.00105,-0.00226,-0.00074,0.00242,-0.00228,-0.00132,0.01557,0.00379,0,,,,,,
20,0.00614,-0.00015,-0.01002,-0.0023,-0.00327,-0.00164,-0.00192,-0.00226,-0.00069,0.01532,-0.00418,-0.0127,0,,,,,
22,0.00783,-0.0036,0.00073,-0.00752,0.00423,0.00089,-0.00322,0.00113,-0.00545,0.02208,0.01547,-0.00211,-0.0016,0,,,,
23,0.00714,-0.00091,0.00733,-0.01057,0.01017,0.00261,0.0008,0.00059,-0.00497,0.01812,0.0238,0.00283,0.01144,-0.00497,0,,,
24,0.00875,0.00281,0.00169,-0.00327,0.00565,-0.00326,0.00287,0.00474,-0.00419,0.02352,0.02785,0.00331,0.00431,-0.00373,-0.00533,0,,
25,0.01276,-0.002,0.00298,-0.00063,0.01364,-0.00038,0.00581,0.00466,-0.00061,0.02282,0.02124,0.00319,0.00566,0.00956,-0.0014,0.00427,0,
27,0.00659,0.0051,-0.00575,0.00254,0.00314,0.00527,0.00727,-0.00183,-0.00627,0.02904,0.01464,0.00094,-0.00163,0.00408,0.0071,-0.0011,0.0019,0
