Sample File	Sample Name	Panel	Marker	Dye	Allele 1	Allele 2	Size 1	Size 2	Height 1	Height 2	Peak Area 1	Peak Area 2	Data Point 1	Data Point 2	ADO	AE	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	XTLK	GQ	UD1	UD2	UD3	
B05_APCL100.fsa	APCL100	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B05_APCL100.fsa	APCL100	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B05_APCL100.fsa	APCL100	Msat53	APR_Cf29	R	207	229	206.6	229.39	2035	1869	12451.0	12403.0	3645	3942	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B05_APCL100.fsa	APCL100	Msat53	AC1359	B	241		240.42		8666		54054.0		4086		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C12_APCL101.fsa	APCL101	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C12_APCL101.fsa	APCL101	Msat53	APR_Cf29	R	212	229	212.33	229.42	2167	1667	13708.0	10409.0	3788	4013	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
C12_APCL101.fsa	APCL101	Msat53	AC1359	B	241		240.43		6568		41747.0		4158		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C12_APCL101.fsa	APCL101	Msat53	APY_65	G	254	256	253.78	255.9	17931	13129	114423.0	83274.0	4334	4362	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A04_APCL102.fsa	APCL102	Msat53	NNG_012	R	111	115	110.93	115.06	10032	7042	63884.0	43376.0	2503	2555	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A04_APCL102.fsa	APCL102	Msat53	APR_Cf29	R	210		210.33		4656		30157.0		3741		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A04_APCL102.fsa	APCL102	Msat53	AC1359	B	241		240.36		14733		94057.0		4134		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A04_APCL102.fsa	APCL102	Msat53	APY_65	G	250	256	249.66	255.84	24125	19870	159713.0	126500.0	4256	4337	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
H03_APCL103.fsa	APCL103	Msat53	AC1359	B											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H03_APCL103.fsa	APCL103	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H03_APCL103.fsa	APCL103	Msat53	APR_Cf29	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H03_APCL103.fsa	APCL103	Msat53	APY_65	G	256	262	255.91	262.16	4650	3542	31787.0	23251.0	4403	4486	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
