Pop,ML_Ne,U_Ne,L_Ne,ML_m,U_m,L_m,Notes
7,88.16,99999,26.16,0.3952,1,0,
8,93.53,99999,36.39,0.5565,0,0.0017,
9,267.32,NA,NA,0.954,NA,NA,Infinite loop
10,1008.89,NA,NA,0.253,NA,NA,Infinite loop
11,62.72,99999,26.76,0.6643,1,0.0038,
13,64.55,149.13,36.129,0.9996,1,0.226,
14,89.84,99999,30.97,0.8704,0,0.0021,
15,89.89,NA,NA,0.9997,NA,NA,Infinite loop
16,144.95,NA,NA,0.9997,NA,NA,Infinite loop
17,124.25,NA,NA,0.9995,NA,NA,Infinite loop
18,1436.4,99999,52.16,0.016783,1,0,
19,286.1,NA,NA,0.8918,NA,NA,Infinite loop
20,62.25,432.54,33.067,0.6343,1,0.0556,
22,95.37,99999,53.48,0.8097,1,0.0005,
23,277.93,,,0.9178,,,Ended with no output
24,54.27,99999,24.57,0.8488,1,0
25,51.5,108.42,25,0.9576,1,0.2817
27,105.93,99999,44.46,0.8123,1,0.0015
