FST,7,8,9,10,11,13,14,15,19,22
7,0,,,,,,,,,
8,-0.0008214,0,,,,,,,,
9,0.002008,-0.001842,0,,,,,,,
10,0.006112,0.001659,-0.002406,0,,,,,,
11,-0.001234,-0.007,-0.001303,-0.006665,0,,,,,
13,-0.02908,-0.02551,-0.01875,-0.02787,-0.03424,0,,,,
14,-0.01938,0.007808,-0.03264,-0.01437,-0.03935,-0.08043,0,,,
15,-0.01277,-0.009231,-0.02556,-0.03449,-0.06719,-0.03876,-0.2029,0,,
19,-0.003961,-0.008203,0.001288,0.005332,0.008021,-0.02264,-0.003669,0.03789,0,
22,-0.01578,0.005767,0.006573,0.004672,0.004752,-0.0007934,-0.004386,0.1,-0.02245,0
