FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0218,,,,,,,,,,,
3,-0.0276,-0.0261,,,,,,,,,,
4,0.0374,0.0527,0.0667,,,,,,,,,
5,-0.0227,-0.0144,-0.0143,-0.0018,,,,,,,,
6,-0.0155,-0.0081,-0.0054,0.0066,-0.0264,,,,,,,
7,-0.0277,-0.0249,-0.0346,0.0495,-0.0201,-0.0121,,,,,,
8,-0.0642,-0.054,-0.0981,0.061,-0.0513,-0.0247,-0.08,,,,,
9,-0.1426,-0.1145,-0.2049,0.0104,-0.1417,-0.0835,-0.1705,-0.1915,,,,
10,-0.0293,0.0111,-0.1755,0.2254,-0.0078,0.0839,-0.0895,-0.1282,-0.4286,,,
11,0.0508,0.0668,0.0817,-0.0301,0.0064,0.0153,0.0637,0.0527,-0.0336,0.1601,,
12,0.207,0.2491,0.2528,0.0104,0.1033,0.1458,0.2263,0.2911,0.2,0.4737,-0.0879,0
