FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.014,,,,,,,,,,,
3,-0.0353,-0.0044,,,,,,,,,,
4,-0.0045,-0.0102,-0.0151,,,,,,,,,
5,0.0692,0.0194,0.0586,0.0408,,,,,,,,
6,0.0376,-0.0008,0.0239,0.0348,-0.0098,,,,,,,
7,-0.0164,-0.0132,-0.0229,-0.0225,0.017,0.0037,,,,,,
8,-0.0118,-0.0369,-0.0171,-0.053,-0.0635,-0.0489,-0.0523,,,,,
9,0.2698,0.2621,0.2762,0.2922,0.0804,0.1169,0.2143,0,,,,
10,-0.1736,-0.0423,-0.1678,-0.2589,0.1211,0.0715,-0.0858,-0.034,0,,,
11,-0.0001,-0.0084,-0.0081,0.0056,-0.0052,-0.0197,-0.0197,-0.0678,0.1201,-0.0395,,
12,-0.1188,-0.1213,-0.1391,-0.1731,0.0007,-0.048,-0.1046,-0.0925,0.1429,-0.4286,-0.0929,0
