FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0074,,,,,,,,,,,
3,-0.0244,-0.0081,,,,,,,,,,
4,-0.0159,-0.0046,-0.0188,,,,,,,,,
5,-0.0083,0.0286,0,0.004,,,,,,,,
6,-0.0069,-0.0066,-0.0033,0.0043,0.004,,,,,,,
7,0.0112,0.0011,0.0019,0.0047,0.0652,0.0377,,,,,,
8,-0.0314,-0.0545,-0.0382,-0.0029,0.0155,-0.041,-0.0145,,,,,
9,-0.0595,-0.0445,-0.0496,-0.0151,-0.0294,-0.0056,-0.0417,-0.1816,,,,
10,-0.1488,-0.0193,-0.0688,0.0131,-0.1714,-0.0616,0.0853,-0.2899,0,,,
11,-0.0138,-0.0053,-0.0141,-0.0076,0.0059,-0.0083,0.0258,-0.0131,0.0249,0.0257,,
12,-0.085,0.014,-0.07,-0.0505,-0.116,-0.015,0.0617,-0.1115,-0.2,-0.75,-0.0385,0
