FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0093,,,,,,,,,,,
3,0.0133,0.0022,,,,,,,,,,
4,0.0013,-0.0162,0.0093,,,,,,,,,
5,0.018,0.0014,-0.0224,0.0105,,,,,,,,
6,-0.018,-0.0158,0.027,-0.0083,0.0249,,,,,,,
7,0.0136,-0.0079,0.0455,-0.0197,0.0424,-0.0105,,,,,,
8,-0.0691,-0.0339,-0.0475,-0.0077,-0.0213,-0.0469,-0.0086,,,,,
9,-0.0445,-0.0557,-0.1272,-0.0503,-0.0693,-0.0421,-0.0895,-0.2067,,,,
10,-0.244,-0.1012,0.0229,-0.0365,0.0923,-0.2808,-0.3289,-0.2047,-0.75,,,
11,0.0411,0.0102,-0.0165,0.0077,-0.0123,0.0427,0.0396,-0.0053,-0.1226,0.0831,,
12,0.0602,0.0804,-0.0493,0.1173,0.0148,0.1004,0.1349,-0.0617,-0.5,0.3,-0.0023,0
