FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0495,,,,,,,,,,,
3,0.0181,-0.0287,,,,,,,,,,
4,0.0261,-0.019,-0.0321,,,,,,,,,
5,0.0703,-0.0213,-0.0261,-0.016,,,,,,,,
6,0.014,-0.018,-0.0327,-0.0225,-0.0126,,,,,,,
7,-0.0064,-0.01,-0.0302,-0.0255,-0.0015,-0.0251,,,,,,
8,0.0134,-0.0636,-0.0983,-0.0718,-0.0497,-0.0676,-0.0664,,,,,
9,-0.1623,-0.0938,-0.197,-0.1422,-0.0513,-0.1426,-0.1789,-0.0962,,,,
10,-0.0116,-0.2296,-0.4097,-0.2821,-0.1728,-0.233,-0.2469,-0.1351,-0.2727,,,
11,0.0276,-0.0242,-0.0358,-0.0255,-0.0222,-0.0262,-0.0221,-0.0832,-0.1556,-0.3251,,
12,-0.0225,0.1645,0.0751,0.0919,0.2118,0.1007,0.0399,0.2348,0,0.6,0.1071,0
