Geographic,2,7,8,9,10,11,13,14,15,16,17,18,19,20,22,23,24,25,27
2,0,,,,,,,,,,,,,,,,,,
7,,0,,,,,,,,,,,,,,,,,
8,,25,0,,,,,,,,,,,,,,,,
9,,50,25,0,,,,,,,,,,,,,,,
10,,75,50,25,0,,,,,,,,,,,,,,
11,,100,75,50,25,0,,,,,,,,,,,,,
13,,150,125,100,75,50,0,,,,,,,,,,,,
14,,175,150,125,100,75,25,0,,,,,,,,,,,
15,,200,175,150,125,100,50,25,0,,,,,,,,,,
16,,225,200,175,150,125,75,50,25,0,,,,,,,,,
17,,250,225,200,175,150,100,75,50,25,0,,,,,,,,
18,,,,,,,,,,,,0,,,,,,,
19,,,,,,,,,,,,25,0,,,,,,
20,,,,,,,,,,,,50,25,0,,,,,
22,,,,,,,,,,,,100,75,50,0,,,,
23,,,,,,,,,,,,125,100,75,25,0,,,
24,,,,,,,,,,,,150,125,100,50,25,0,,
25,,,,,,,,,,,,175,150,125,75,50,25,0,
27,,,,,,,,,,,,225,200,175,125,100,75,50,0
