Pop,Indiv,A1_AC1359,A2_AC1359,A1_AC1578,A2_AC1578,A1_AC915,A2_AC915,A1_ACH_B6,A2_ACH_B6,A1_ACH_C1,A2_ACH_C1,A1_ACH_D1,A2_ACH_D1,A1_APR_Cf29,A2_APR_Cf29,A1_APR_Cf8,A2_APR_Cf8,A1_APY_45,A2_APY_45,A1_APY_65,A2_APY_65,A1_NNG_004,A2_NNG_004,A1_NNG_012,A2_NNG_012,A1_NNG_028,A2_NNG_028
15,APCL498,243,243,252,258,225,225,171,179,92,96,326,330,0,0,241,243,214,216,258,262,252,252,112,116,290,292
15,APCL504,243,245,254,256,225,227,159,171,92,113,302,326,217,231,241,241,214,225,252,258,252,252,116,116,290,296
15,APCL501,245,247,254,254,225,225,159,175,92,101,326,326,211,231,243,243,229,229,256,262,252,254,116,116,290,290
15,APCL499,243,245,254,256,225,225,167,171,96,96,322,326,211,231,249,249,214,216,258,262,252,252,112,116,290,296
15,APCL494,243,247,254,256,225,225,171,171,96,101,342,350,209,221,241,243,214,229,252,258,252,252,112,112,290,309
15,APCL495,243,243,252,254,225,225,171,171,96,105,338,338,207,213,243,243,214,216,252,258,252,252,112,114,296,296
15,APCL492,245,249,254,254,225,225,167,179,92,96,322,326,211,219,243,249,214,214,252,264,252,252,112,112,296,296
15,APCL497,243,245,254,254,225,225,155,183,96,96,318,346,219,221,241,243,214,214,252,252,252,252,112,112,290,298
15,APCL502,243,243,252,254,225,225,167,183,92,92,326,338,209,219,249,249,214,225,258,258,252,254,112,112,296,296
15,APCL503,243,245,254,254,225,225,175,191,92,96,326,330,211,211,241,243,214,214,254,258,252,252,112,112,290,290
15,APCL500,245,245,254,256,225,225,167,191,96,105,334,338,211,213,249,249,229,229,252,256,252,252,112,116,290,298
15,APCL489,243,249,254,254,225,231,167,175,96,113,322,326,211,249,241,243,214,214,258,258,252,254,112,116,290,296
15,APCL493,243,245,254,258,225,225,159,195,92,96,326,330,209,213,241,241,214,229,252,258,252,252,116,116,290,290
15,APCL491,243,245,252,254,225,225,191,195,96,101,314,338,211,217,241,241,214,225,252,256,252,254,116,116,290,294
15,APCL496,0,0,252,252,225,225,171,175,96,113,322,338,209,211,241,241,216,225,252,256,252,252,116,116,294,296
15,APCL488,243,249,254,258,225,225,151,171,92,101,326,334,211,217,241,243,214,229,250,258,252,254,112,112,290,294
15,APCL490,243,245,254,258,225,225,175,191,92,92,314,318,211,217,241,249,214,240,258,258,252,254,116,118,290,298
15,APCL508,243,243,254,254,225,225,171,171,96,105,314,318,209,221,241,243,214,225,258,258,252,252,112,112,296,296
15,APCL507,243,245,252,254,225,225,163,167,96,101,326,342,0,0,241,241,214,225,258,258,252,252,112,112,288,290
15,APCL509,243,245,254,254,225,225,163,183,92,101,330,346,211,213,241,249,225,225,252,256,252,252,112,116,296,298
15,APCL506,243,249,254,254,225,225,171,195,92,96,322,330,209,231,243,243,220,246,258,258,252,252,112,112,290,294
