FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0117,,,,,,,,,,,
3,-0.0105,-0.0224,,,,,,,,,,
4,-0.0112,0.0005,0.0025,,,,,,,,,
5,-0.0164,-0.0153,-0.0061,-0.0117,,,,,,,,
6,-0.0117,-0.0129,-0.0001,-0.0074,-0.0202,,,,,,,
7,-0.0174,-0.0127,-0.014,-0.0187,-0.0218,-0.0129,,,,,,
8,-0.0201,-0.0222,-0.0181,-0.0112,-0.017,-0.0154,-0.0217,,,,,
9,0.0835,0.0559,0.1001,0.1243,0.0349,0.0644,0.0797,0.0535,,,,
10,-0.02,-0.0485,-0.0165,-0.0286,-0.0713,-0.0361,-0.0465,0,0,,,
11,-0.0026,0.0066,-0.0001,-0.0103,-0.0019,0.0094,-0.0076,0.0162,0.1516,0.0555,,
12,-0.0124,0.0106,-0.0244,-0.001,0.0115,0.0253,0.0019,-0.0131,0.25,0,0.023,0
