FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0281,,,,,,,,,,,
3,-0.0206,0.0417,,,,,,,,,,
4,-0.0085,0.0105,-0.0239,,,,,,,,,
5,-0.0195,0.0206,0.0031,0.0122,,,,,,,,
6,-0.0184,0.0288,-0.031,-0.0231,0.0019,,,,,,,
7,-0.018,-0.0027,-0.0103,-0.014,-0.0156,-0.0145,,,,,,
8,0.0814,0.0897,0.0222,0.0235,0.1183,0.0302,0.075,,,,,
9,-0.0646,-0.0811,-0.0906,-0.0487,-0.0767,-0.087,-0.0627,0.0844,,,,
10,-0.1061,-0.2033,-0.2358,-0.1783,-0.0722,-0.2333,-0.1101,-0.1351,-0.3333,,,
11,0.0394,0.1042,0.0013,0.0145,0.0738,0.0124,0.0474,-0.03,0.0059,-0.2155,,
12,0.0789,0.2075,-0.0096,0.0701,0.1343,0.0345,0.1285,0.094,0.0769,0,-0.0189,0
