FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0082,,,,,,,,,,,
3,0.0285,0.0347,,,,,,,,,,
4,0.0173,-0.0074,-0.0135,,,,,,,,,
5,-0.0072,0.0244,-0.0184,0.0002,,,,,,,,
6,0.0102,0.0404,-0.0044,0.0051,-0.0176,,,,,,,
7,0.0117,0.014,-0.0019,-0.0101,-0.0182,-0.0143,,,,,,
8,0.0016,0.0469,-0.0526,-0.0432,-0.07,-0.0541,-0.076,,,,,
9,-0.0742,0.0133,-0.0842,-0.0533,-0.1276,-0.0269,-0.0627,-0.172,,,,
10,0.246,0.2047,0.0419,0.0554,0.1463,0.2092,0.1508,0.1055,-0.1579,,,
11,0.007,0.0203,-0.0106,-0.0163,-0.022,-0.0144,-0.0236,-0.0743,-0.0751,0.1644,,
12,0.1139,0.1564,0.0053,0.0434,0.0174,0.0018,-0.0174,-0.0732,0.0667,0.3,0.0314,0
