FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0032,,,,,,,,,,,
3,-0.0052,0.0244,,,,,,,,,,
4,0.008,-0.0161,0.0615,,,,,,,,,
5,-0.0223,0.0078,0.014,0.0133,,,,,,,,
6,0.0131,0.0506,0.0704,0.061,0.0028,,,,,,,
7,-0.0187,0.0089,0.032,0.0056,-0.0267,-0.0174,,,,,,
8,-0.0668,-0.0362,-0.0144,-0.0501,-0.0573,-0.035,-0.0948,,,,,
9,-0.13,-0.0697,-0.2116,-0.0522,-0.0406,0.1003,-0.1035,-0.1462,,,,
10,-0.0366,0.1024,-0.0118,0.149,0.0494,-0.0242,-0.1281,-0.1462,0.5,,,
11,0.0029,-0.0078,0.0148,-0.0048,0.0165,0.0901,0.0322,-0.0193,-0.1748,0.1504,,
12,-0.1292,-0.0675,-0.1636,-0.0201,-0.0848,-0.0621,-0.1279,-0.1349,-0.3333,-0.1429,-0.0706,0
