FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0883,,,,,,,,,,,
3,0.0365,-0.0233,,,,,,,,,,
4,0.0005,0.0058,-0.0193,,,,,,,,,
5,0.0619,-0.0341,-0.0349,-0.0103,,,,,,,,
6,-0.0141,0.0323,-0.0039,-0.0206,0.0118,,,,,,,
7,0.0303,-0.0271,-0.04,-0.0269,-0.0417,-0.0096,,,,,,
8,-0.0832,0.0191,-0.0212,-0.0368,-0.0077,-0.0616,-0.0528,,,,,
9,-0.1556,0.0791,0.0193,-0.0087,0.0367,-0.0676,-0.0426,-0.0962,,,,
10,-0.0418,0.2991,0.2344,0.2021,0.2523,0.1138,0.1475,0.1282,-0.4286,,,
11,0.0609,-0.0165,-0.0194,-0.0015,-0.0226,0.0152,-0.025,0.0295,0.109,0.3423,,
12,0.1548,-0.1183,-0.0475,0.0543,-0.1128,0.08,-0.1117,0.1435,0.2,0.4737,0.0155,0
