FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0034,0,,,,,,,,,,
3,0.0069,0.0063,0,,,,,,,,,
4,0.0076,0.0005,-0.0008,0,,,,,,,,
5,0.0113,0.0039,0.0017,-0.0021,0,,,,,,,
6,-0.0024,0.0051,0.0062,0.0013,-0.0026,0,,,,,,
7,0.002,-0.0011,-0.0007,-0.0078,0.0002,-0.0068,0,,,,,
8,-0.0124,-0.0113,-0.0304,-0.0254,-0.0206,-0.0279,-0.0345,0,,,,
9,-0.0069,0.0037,-0.0209,0.007,-0.036,-0.0144,-0.0317,-0.0804,0,,,
10,-0.0379,-0.0084,-0.0205,-0.0102,-0.0284,-0.0345,-0.052,-0.0388,-0.2029,0,,
11,0.0113,0.0074,-0.0039,-0.009,0.0007,0.0052,0.006,-0.0234,-0.0049,0.0336,0,
12,0.0035,0.0336,-0.0206,0.0049,0.005,0.0047,0.0054,-0.0008,-0.0044,0.1,-0.0243,0
