FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,0.0419,,,,,,,,,,,
3,-0.0103,-0.0068,,,,,,,,,,
4,0.127,-0.0052,0.0458,,,,,,,,,
5,0.1301,0.0008,0.0523,-0.0377,,,,,,,,
6,0.033,-0.0273,-0.0159,-0.0116,-0.0047,,,,,,,
7,0.0927,-0.0131,0.026,-0.028,-0.0238,-0.0188,,,,,,
8,0.2916,0.0065,0.1163,-0.0872,-0.0825,-0.0201,-0.0412,,,,,
9,-0.1456,-0.0565,-0.1162,-0.0442,-0.026,-0.1318,-0.012,0.0508,,,,
10,-0.3443,-0.2063,-0.3007,-0.2581,-0.2169,-0.4086,-0.1422,-0.1282,,,,
11,0.0241,-0.0206,-0.0175,0.0089,0.0153,-0.027,-0.0036,0.0358,-0.0755,-0.2355,,
12,-0.1456,-0.0565,-0.1162,-0.0442,-0.026,-0.1318,-0.012,0.0508,,,-0.0755,0
