FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0205,,,,,,,,,,,
3,0.13,0.111,,,,,,,,,,
4,0.0285,0.0257,0.019,,,,,,,,,
5,-0.0196,-0.0197,0.0451,-0.0268,,,,,,,,
6,-0.0143,-0.0201,0.0693,0.0003,-0.0318,,,,,,,
7,0.0563,0.0453,-0.004,-0.018,-0.0091,0.0144,,,,,,
8,0.0914,0.083,-0.069,-0.0064,-0.0215,0.0345,-0.0307,,,,,
9,0.1619,0.1659,-0.0241,0.0549,0.0054,0.105,0.0287,-0.124,,,,
10,-0.3391,-0.2848,0.1645,-0.0463,-0.4943,-0.3059,-0.0059,0.1613,0.6,,,
11,0.0189,0.0087,0.0132,-0.0229,-0.0297,-0.0132,-0.0194,-0.0279,0.0232,-0.2129,,
12,-0.0885,-0.0884,-0.0978,-0.0994,-0.2305,-0.1383,-0.1125,-0.1535,0,-0.2727,-0.1735,0
