Parentage analysis type,Most likely parent,True mother,True father,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00
Single parent,Non-parent,Mother unsampled,Father unsampled,     44,    168,    468,    890,   1000,    631,    284,    110,     34,      9,      3
Single parent,Non-parent,Mother unsampled,Father sampled,     14,     58,    150,    438,    626,    475,    226,    116,     25,      8,      4
Single parent,Non-parent,Mother sampled,Father unsampled,     16,     48,    166,    394,    626,    540,    301,     99,     31,      6,     10
Single parent,Non-parent,Mother sampled,Father sampled,      1,      1,      3,     59,    193,    285,    182,     81,     33,      5,      4
Single parent,True parent,Mother unsampled,Father unsampled,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
Single parent,True parent,Mother unsampled,Father sampled,      0,      3,     13,     62,    150,    300,    380,    378,    301,    244,    412
Single parent,True parent,Mother sampled,Father unsampled,      1,      2,     10,     57,    171,    306,    412,    369,    306,    231,    467
Single parent,True parent,Mother sampled,Father sampled,      0,      1,     10,     63,    214,    501,    696,    720,    634,    462,    854
Parent pair (sexes unknown),Non-parent pair,Mother unsampled,Father unsampled,      0,      0,      0,      0,      0,      0,      0,      3,      5,     17,    118
Parent pair (sexes unknown),Non-parent pair,Mother unsampled,Father sampled,      0,      0,      0,      0,      0,      0,      0,      2,      1,     24,    274
Parent pair (sexes unknown),Non-parent pair,Mother sampled,Father unsampled,      0,      0,      0,      0,      0,      0,      1,      2,      3,     12,    356
Parent pair (sexes unknown),Non-parent pair,Mother sampled,Father sampled,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1,    136
Parent pair (sexes unknown),True parent pair,Mother unsampled,Father unsampled,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
Parent pair (sexes unknown),True parent pair,Mother unsampled,Father sampled,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
Parent pair (sexes unknown),True parent pair,Mother sampled,Father unsampled,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
Parent pair (sexes unknown),True parent pair,Mother sampled,Father sampled,      0,      0,      0,      0,      0,      0,      0,      1,      0,      2,   2300
