"","Leyte_b","Leyte_r2","Leyte_p","Cebu_b","Cebu_r2","Cebu_p"
"AC1359",0.000631416524638797,0.446377568423317,0.007,9.84634461049565e-06,0.000883919888661525,0.363
"AC1578",0.000128758075461340,0.0583517208732967,0.16,-2.03860635987718e-06,4.81852751569842e-05,0.472
"AC915",-7.1115973484294e-05,0.0399241371356505,0.82,-2.54698632823546e-05,0.029217704948567,0.877
"ACH_A7",0.000128497794633047,0.0980390999605019,0.08,6.44537871192182e-05,0.0193831657076533,0.15
"ACH_B6",4.97155852352882e-05,0.0900743147453048,0.085,4.15901680802239e-06,0.000404773094067746,0.397
"ACH_C1",0.000134257979682554,0.115535077411772,0.083,2.42668491446685e-05,0.00773103390033101,0.274
"ACH_D1",5.63742503919038e-05,0.0715121501596745,0.09,4.9242305331528e-05,0.0715321645701266,0.058
"APR_Cf29",6.51690268888749e-05,0.169688020045621,0.021,5.6776878757953e-05,0.0631980124356969,0.065
"APR_Cf8",-7.5160882153348e-05,0.0149339799195403,0.669,2.75964440937192e-05,0.0162590967160108,0.203
"APY_45",0.000112847633380814,0.046707289563432,0.181,-6.77739157190883e-05,0.0443717187061056,0.946
"APY_65",-5.98984978771742e-05,0.0408029794966105,0.842,-5.19122840013795e-05,0.0347465304775731,0.921
"NNG_004",5.15488969422799e-05,0.0423235470349651,0.149,-9.22562934568329e-05,0.0223171989061512,0.834
"NNG_012",0.000113067766268566,0.0311561942154056,0.271,9.90834531662642e-05,0.0427268262398866,0.098
"NNG_028",-2.9552890098294e-06,7.27947383951759e-05,0.505,3.71027961374443e-05,0.0357244300195569,0.094
