"","par","kid","rel","kidcohort","parcohort"
"1","APCL100","APCL21",0.769230769230769,0,1
"2","APCL100","APCL69",0.846153846153846,1,1
"3","APCL100","APCL54",0.846153846153846,0,1
"4","APCL100","APCL28",0.846153846153846,0,1
"5","APCL100","APCL27",0.769230769230769,0,1
"6","APCL100","APCL65",0.769230769230769,1,1
"7","APCL100","APCL59",0.769230769230769,1,1
"8","APCL100","APCL64",0.615384615384615,0,1
"9","APCL100","APCL90",0.615384615384615,0,1
"10","APCL100","APCL62",0.769230769230769,1,1
"11","APCL100","APCL52",0.692307692307692,0,1
"12","APCL100","APCL50",0.846153846153846,1,1
"13","APCL100","APCL53",0.538461538461538,0,1
"14","APCL100","APCL91",0.692307692307692,1,1
"15","APCL100","APCL97",0.846153846153846,0,1
"16","APCL100","APCL102",0.846153846153846,0,1
"17","APCL100","APCL47",0.769230769230769,0,1
"18","APCL100","APCL60",0.923076923076923,1,1
"19","APCL100","APCL57",0.769230769230769,1,1
"20","APCL100","APCL95",0.538461538461538,0,1
"21","APCL100","APCL96",0.615384615384615,1,1
"22","APCL100","APCL101",0.846153846153846,0,1
"23","APCL100","APCL39",0.846153846153846,0,1
"24","APCL100","APCL38",0.769230769230769,1,1
"25","APCL100","APCL48",0.769230769230769,0,1
"26","APCL100","APCL104",0.846153846153846,1,1
"27","APCL100","APCL93",0.846153846153846,0,1
"28","APCL100","APCL61",1,0,1
"29","APCL100","APCL67",0.615384615384615,0,1
"30","APCL100","APCL94",0.769230769230769,1,1
"31","APCL100","APCL68",0.692307692307692,0,1
"32","APCL100","APCL92",0.692307692307692,1,1
"33","APCL100","APCL70",0.846153846153846,0,1
"34","APCL100","APCL63",0.769230769230769,1,1
"35","APCL100","APCL58",0.692307692307692,0,1
"36","APCL100","APCL55",0.615384615384615,1,1
"37","APCL100","APCL89",0.615384615384615,0,1
"38","APCL100","APCL56",0.846153846153846,0,1
"39","APCL100","APCL88",0.692307692307692,0,1
"40","APCL100","APCL49",0.769230769230769,1,1
"41","APCL101","APCL69",0.923076923076923,1,0
"42","APCL101","APCL64",0.769230769230769,0,0
"43","APCL101","APCL59",0.769230769230769,1,0
"44","APCL101","APCL94",0.923076923076923,1,0
"45","APCL101","APCL62",0.692307692307692,1,0
"46","APCL101","APCL54",0.769230769230769,0,0
"47","APCL101","APCL91",0.692307692307692,1,0
"48","APCL101","APCL47",0.846153846153846,0,0
"49","APCL101","APCL21",0.846153846153846,0,0
"50","APCL101","APCL67",0.615384615384615,0,0
"51","APCL101","APCL95",0.692307692307692,0,0
"52","APCL101","APCL68",0.769230769230769,0,0
"53","APCL101","APCL48",0.923076923076923,0,0
"54","APCL101","APCL28",0.846153846153846,0,0
"55","APCL101","APCL55",0.769230769230769,1,0
"56","APCL101","APCL38",0.615384615384615,1,0
"57","APCL101","APCL53",0.769230769230769,0,0
"58","APCL101","APCL65",0.846153846153846,1,0
"59","APCL101","APCL70",0.769230769230769,0,0
"60","APCL101","APCL63",0.846153846153846,1,0
"61","APCL101","APCL39",0.923076923076923,0,0
"62","APCL101","APCL60",0.769230769230769,1,0
"63","APCL101","APCL92",0.769230769230769,1,0
"64","APCL101","APCL97",0.846153846153846,0,0
"65","APCL101","APCL90",0.615384615384615,0,0
