"","SurveyNum","Time","Spp","Size","ID","Notes","TopTwo","lat","long"
"143",9,"15:23","PRBI",NA,"1","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"144",9,"15:23","PRBI",NA,"2","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"145",9,"15:23","PRBI",NA,"3","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"147",9,"15:23","PRBI",NA,"4","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"148",9,"15:23","PRBI",NA,"5","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"149",9,"15:23","PRBI",NA,"6","Didn't label tubes ahead of time",TRUE,10.22835093085,124.249119129958
"150",10,"16:35","PRBI",NA,"7","Didn't label tubes ahead of time",TRUE,10.2288151975,124.247636902
"1501",10,"16:35","PRBI",NA,"8","Didn't label tubes ahead of time",TRUE,10.2288151975,124.247636902
"151",11,"14:21","PRBI",10,"9","",TRUE,10.228627673375,124.24948467175
"152",11,"14:32","PRBI",12,"10","",TRUE,10.228215157975,124.24922489575
"1521",11,"14:32","PRBI",5,"11","",TRUE,10.228215157975,124.24922489575
"153",11,"14:45","PRBI",10,"12","",TRUE,10.228205749325,124.249209913
"154",11,"14:54","PRBI",13,"13","",TRUE,10.2280793083,124.24897821625
"1541",11,"14:54","PRBI",6,"14","",TRUE,10.2280793083,124.24897821625
"155",11,"15:02","PRBI",12,"15","",TRUE,10.2281143237,124.24892501225
"156",11,"15:07","PRBI",7,"16","",TRUE,10.228179367225,124.24896134775
"157",11,"15:12","PRBI",12,"17","",TRUE,10.228299899025,124.24897260025
"158",11,"15:18","PRBI",9,"18","",TRUE,10.2283266792,124.249001937
"160",11,"15:34","PRBI",10,"19","",TRUE,10.2285858267,124.249179675
"161",11,"15:54","PRBI",7,"20","",TRUE,10.22822739555,124.24904835175
"162",12,"10:28","APCL",9,"21","",TRUE,10.17643825615,124.17755023575
"163",12,"10:34","PRBI",14,"22","",TRUE,10.176496866625,124.17763145675
"164",12,"10:38","PRBI",16,"23","",TRUE,10.1765269367,124.17766795975
"1643",12,"10:38","PRBI",13,"24","",TRUE,10.1765269367,124.17766795975
"165",12,"10:43","PRBI",15,"25","",TRUE,10.176547451425,124.17769840675
"166",12,"10:49","PRBI",14,"26","",TRUE,10.176573707725,124.17767938
"167",12,"10:53","APCL",10,"27","",TRUE,10.17658139815,124.17774153175
"1671",12,"10:53","APCL",11,"28","",TRUE,10.17658139815,124.17774153175
"168",12,"10:59","PRBI",12,"29","",TRUE,10.17661316555,124.17772445325
"169",12,"11:01","PRBI",14,"30","",TRUE,10.176621631225,124.1777495365
"1691",12,"11:01","PRBI",9,"31","",TRUE,10.176621631225,124.1777495365
"170",12,"11:05","PRBI",9,"32","",TRUE,10.176630055075,124.177791446
"171",12,"11:09","PRBI",12,"33","",TRUE,10.176682274325,124.177858145
"172",12,"11:17","PRBI",15,"34","",TRUE,10.1766858157,124.17805277275
"173",12,"11:22","PRBI",9,"35","",TRUE,10.17672477055,124.1780655555
"174",12,"11:25","PRBI",6,"36","",TRUE,10.176744384225,124.17807695425
"1741",12,"11:25","PRBI",14,"37","",TRUE,10.176744384225,124.17807695425
"175",12,"11:30","APCL",7,"38","",TRUE,10.176733110575,124.17811846575
"1751",12,"11:30","APCL",10,"39","",TRUE,10.176733110575,124.17811846575
"176",12,"11:33","PRBI",14,"40","",TRUE,10.176734388825,124.178129069
"1761",12,"11:33","PRBI",8,"41","",TRUE,10.176734388825,124.178129069
"177",12,"11:38","PRBI",15,"42","",TRUE,10.1767432946,124.17817244525
"1771",12,"11:38","PRBI",9,"43","",TRUE,10.1767432946,124.17817244525
"178",12,"11:46","PRBI",13,"44","",TRUE,10.17672537825,124.178215696
"1781",12,"11:46","PRBI",11,"45","",TRUE,10.17672537825,124.178215696
"179",12,"11:51","PRBI",12,"46","",TRUE,10.176763117775,124.178235666
"180",12,"11:55","APCL",8,"47","",TRUE,10.17677231695,124.178341194
"181",12,"12:03","APCL",11,"48","",TRUE,10.17698031385,124.17857219925
"182",13,"10:44","APCL",6,"49","Corkscrew anemone? purple verrucae in rows",TRUE,9.414452095515,123.31258306975
"1821",13,"10:44","APCL",6,"50","Corkscrew anemone? purple verrucae in rows",TRUE,9.414452095515,123.31258306975
"183",13,"10:50","PRBI",12,"51","",TRUE,9.4144406961275,123.3125730535
"184",13,"11:00","APCL",9,"52","",TRUE,9.41441798117,123.31256779375
"185",13,"11:04","APCL",8,"53","Heteractis aurora? Had “grapes” along tentacles, on sand",TRUE,9.414321337825,123.3125905925
"186",13,"11:10","APCL",10,"54","",TRUE,9.4143249001325,123.31273949725
"187",13,"11:15","APCL",6,"55","",TRUE,9.41436381312,123.31276217025
"188",13,"11:18","APCL",8,"56","",TRUE,9.4143264507875,123.3127638675
"1881",13,"11:18","APCL",7,"57","",TRUE,9.4143264507875,123.3127638675
"189",13,"11:25","APCL",8,"58","",TRUE,9.414298916235,123.3128767925
"190",14,"12:01","APCL",7,"59","",TRUE,9.4141511642375,123.31371276175
"1901",14,"12:01","APCL",5,"60","",TRUE,9.4141511642375,123.31371276175
"191",14,"12:07","APCL",8,"61","No anemone seen",TRUE,9.414039726835,123.31368017725
"1911",14,"12:07","APCL",7,"62","No anemone seen",TRUE,9.414039726835,123.31368017725
"192",14,"12:14","APCL",7,"63","",TRUE,9.414038092365,123.313674666
"193",14,"12:20","APCL",9,"64","",TRUE,9.41396831302,123.313624165
"194",14,"12:23","APCL",7,"65","",TRUE,9.4139537913725,123.313653376
"195",14,"12:30","APCL",8,"67","lost tube #66",TRUE,9.413871041035,123.31376554675
"196",14,"12:34","APCL",9,"68","",TRUE,9.41387108294,123.31374448725
"197",14,"12:42","APCL",9,"70","",TRUE,9.4138226145875,123.314087705
