fsts,1,2,7,8,9,10,11,13,14,15,19,22
1,0,,,,,,,,,,,
2,0.003,0,,,,,,,,,,
7,0.0048,0.0037,0,,,,,,,,,
8,0.0075,0.0016,0.0011,0,,,,,,,,
9,0.0133,0.0028,0.0042,-0.0015,0,,,,,,,
10,-0.0035,0.0019,0.0073,0.0013,-0.001,0,,,,,,
11,0.0013,-0.002,-0.0007,-0.0069,0.0006,-0.0064,0,,,,,
13,-0.0137,-0.0164,-0.0283,-0.0239,-0.0154,-0.0255,-0.0346,0,,,,
14,-0.0011,0.0029,-0.015,0.0132,-0.0267,-0.0132,-0.0395,-0.0714,0,,,
15,-0.0723,-0.0298,-0.0267,-0.0153,-0.0459,-0.0645,-0.1009,-0.0552,-0.2074,0,,
19,0.0117,0.0063,-0.0032,-0.0077,0.0033,0.0071,0.0101,-0.0187,0.0016,0.0192,0,
22,-0.0075,0.0221,-0.0232,0.0022,0.0044,0.0049,0,0.0061,-0.0122,0.0818,-0.0301,0
