SurveyNum,MEAN_SurvW,SUM_length,SurvWidth,length,area,lat,area_calc,percdiff
2,5,366.94702,5,366.94702,1815.28153,10.17718468,1834.7351,-1.07%
3,10,450.47299,10,450.47299,4533.37161,10.26536115,4504.7299,0.63%
4,10,292.28529,10,292.28529,3036.42265,10.27474279,2922.8529,3.74%
5,10,1008.48411,10,1008.48411,10042.88386,10.29012348,10084.8411,-0.42%
6,10,838.74696,10,838.74696,8282.41989,10.18616828,8387.4696,-1.27%
7,10,825.27354,10,825.27354,8297.28985,10.21298273,8252.7354,0.54%
8,10,186.36643,10,186.36643,1778.90063,10.22838725,1863.6643,-4.76%
15,10,303.75087,10,303.75087,3090.78922,9.411233609,3037.5087,1.72%
18,10,667.64903,10,667.64903,6702.4788,9.417523,6676.4903,0.39%
19,5,705.91412,5,705.91412,3494.36263,9.90067224,3529.5706,-1.01%
21,5,960.99446,5,960.99446,4775.70495,9.864198481,4804.9723,-0.61%
22,5,323.03001,5,323.03001,1595.95078,9.832984917,1615.15005,-1.20%
23,10,939.37119,10,939.37119,9311.64173,9.841267259,9393.7119,-0.88%
24,5,1131.07895,5,1131.07895,5616.90098,9.854061784,5655.39475,-0.69%
25,10,260.5704,10,260.5704,2514.26065,9.635740548,2605.704,-3.64%
26,10,749.65119,10,749.65119,7405.59936,9.639521439,7496.5119,-1.23%
27,10,350.91702,10,350.91702,3542.22859,9.646741792,3509.1702,0.93%
28,10,826.60354,10,826.60354,8197.06497,9.609822429,8266.0354,-0.84%
29,10,764.07977,10,764.07977,7581.3377,9.602987585,7640.7977,-0.78%
30,10,554.33198,10,554.33198,5545.35755,9.63256716,5543.3198,0.04%
31,10,452.14243,10,452.14243,4447.61149,10.22754033,4521.4243,-1.66%
32,10,1014.98733,10,1014.98733,10112.47063,10.22158428,10149.8733,-0.37%
33,10,469.77449,10,469.77449,4644.37881,10.22262296,4697.7449,-1.15%
34,10,605.92418,10,605.92418,6036.83605,10.22877772,6059.2418,-0.37%
35,10,491.74391,10,491.74391,4913.34378,10.22480422,4917.4391,-0.08%
36,10,752.93156,10,752.93156,7515.16475,10.22636597,7529.3156,-0.19%
37,10,315.14275,10,315.14275,3160.71041,10.05880582,3151.4275,0.29%
39,10,630.37983,10,630.37983,6263.79574,10.05305866,6303.7983,-0.64%
40,10,337.56682,10,337.56682,3345.90995,10.07658763,3375.6682,-0.89%
41,10,244.11601,10,244.11601,2423.01047,10.07729584,2441.1601,-0.75%
42,10,566.40652,10,566.40652,5607.16452,10.55760698,5664.0652,-1.01%
43,10,768.10913,10,768.10913,7594.92193,10.56330296,7681.0913,-1.13%
44,10,885.42547,10,885.42547,8808.92678,10.49516897,8854.2547,-0.51%
