"","ID","Spp"
"3",78,"PRBI"
"27",104,"APCL"
"35",112,"PRBI"
"38",115,"PRBI"
"51",128,"APCL"
"82",162,"APCL"
"88",169,"PRBI"
"93",174,"PRBI"
"101",182,"APCL"
"119",202,"APCL"
"140",224,"APCL"
"141",225,"APCL"
"153",237,"PRBI"
"163",248,"APCL"
"176",262,"PRBI"
"182",269,"APCL"
"188",275,"APCL"
"193",283,"APCL"
"194",284,"APCL"
"198",289,"APCL"
"213",304,"APCL"
"218",310,"APCL"
"227",319,"APCL"
"259",354,"APCL"
"264",359,"APCL"
"266",361,"APCL"
"267",362,"APCL"
"274",370,"APCL"
"276",372,"APCL"
"282",378,"APCL"
"302",399,"APCL"
"304",401,"APCL"
"309",407,"APCL"
"335",435,"APCL"
"340",446,"APCL"
"343",449,"APCL"
"344",450,"APCL"
"346",452,"APCL"
"348",454,"APCL"
"351",457,"APCL"
"354",460,"APCL"
"355",461,"APCL"
"356",462,"APCL"
"360",467,"APCL"
"361",468,"APCL"
"367",474,"APCL"
"369",476,"APCL"
"370",477,"APCL"
"384",491,"APCL"
"386",493,"APCL"
"394",501,"APCL"
"412",520,"APCL"
"417",525,"APCL"
"428",536,"APCL"
"431",539,"APCL"
"432",540,"APCL"
"433",541,"APCL"
"439",547,"APCL"
"443",552,"APCL"
