ID,Spp
76,PRBI
77,PRBI
78,PRBI
79,PRBI
80,PRBI
81,PRBI
82,PRBI
83,PRBI
84,PRBI
85,PRBI
87,PRBI
89,APCL
90,APCL
91,APCL
92,APCL
93,APCL
94,APCL
95,APCL
96,APCL
97,APCL
98,PRBI
99,PRBI
100,APCL
101,APCL
102,APCL
103,APCL
104,APCL
105,APCL
106,APCL
107,APCL
108,APCL
109,PRBI
110,PRBI
111,APCL
112,PRBI
113,PRBI
114,PRBI
115,PRBI
116,PRBI
117,PRBI
118,PRBI
119,PRBI
120,PRBI
121,PRBI
122,PRBI
123,PRBI
124,APCL
125,APCL
126,APCL
127,APCL
128,APCL
129,APCL
130,APCL
132,APCL
133,APCL
134,APCL
135,APCL
136,APCL
137,PRBI
138,PRBI
139,APCL
140,APCL
141,APCL
142,APCL
143,APCL
144,APCL
145,APCL
147,PRBI
148,PRBI
149,PRBI
150,PRBI
151,PRBI
152,PRBI
153,PRBI
154,PRBI
155,PRBI
156,PRBI
157,PRBI
158,PRBI
159,PRBI
160,PRBI
162,APCL
163,APCL
164,PRBI
165,APCL
167,PRBI
168,PRBI
169,PRBI
170,PRBI
171,APCL
172,APCL
173,APCL
174,PRBI
175,PRBI
176,APCL
177,APCL
178,PRBI
179,PRBI
180,PRBI
181,PRBI
182,APCL
183,PRBI
185,PRBI
186,PRBI
187,APCL
188,PRBI
189,PRBI
190,APCL
191,APCL
192,APCL
193,APCL
194,APCL
195,APCL
196,APCL
197,APCL
198,APCL
200,APCL
201,APCL
202,APCL
203,APCL
204,APCL
205,APCL
206,APCL
207,APCL
208,APCL
209,PRBI
210,PRBI
212,APCL
213,PRBI
214,PRBI
215,PRBI
216,PRBI
217,APCL
218,APCL
219,APCL
220,APCL
221,APCL
222,APCL
223,APCL
224,APCL
225,APCL
226,PRBI
227,PRBI
228,PRBI
229,PRBI
230,PRBI
231,PRBI
232,PRBI
233,PRBI
234,PRBI
235,PRBI
236,PRBI
237,PRBI
238,PRBI
239,PRBI
240,APCL
241,APCL
242,APCL
244,APCL
245,APCL
246,APCL
247,APCL
248,APCL
249,APCL
250,APCL
251,APCL
252,APCL
253,APCL
254,APCL
255,APCL
256,APCL
257,APCL
258,APCL
259,APCL
261,PRBI
262,PRBI
263,PRBI
265,APCL
266,APCL
267,APCL
268,APCL
269,APCL
270,APCL
271,APCL
272,APCL
273,APCL
274,APCL
275,APCL
279,APCL
280,APCL
281,APCL
282,APCL
283,APCL
284,APCL
286,APCL
287,APCL
288,APCL
289,APCL
290,APCL
291,APCL
292,APCL
293,APCL
294,APCL
295,APCL
296,APCL
297,APCL
298,APCL
299,APCL
300,APCL
301,APCL
302,APCL
303,APCL
304,APCL
305,APCL
306,APCL
307,APCL
309,APCL
310,APCL
311,APCL
312,APCL
313,APCL
314,APCL
315,APCL
316,APCL
317,APCL
318,APCL
319,APCL
320,APCL
321,APCL
322,APCL
324,PRBI
326,PRBI
327,PRBI
328,PRBI
329,PRBI
330,PRBI
331,PRBI
332,PRBI
333,PRBI
334,PRBI
335,PRBI
336,PRBI
337,PRBI
338,PRBI
339,PRBI
340,PRBI
341,PRBI
342,PRBI
343,APCL
345,APCL
346,APCL
347,APCL
348,APCL
349,APCL
350,APCL
351,APCL
352,APCL
353,APCL
354,APCL
355,APCL
356,APCL
357,APCL
358,APCL
359,APCL
360,APCL
361,APCL
362,APCL
364,PRBI
365,APCL
366,APCL
367,APCL
368,APCL
369,APCL
370,APCL
371,APCL
372,APCL
373,APCL
374,APCL
375,APCL
376,APCL
377,APCL
378,APCL
379,APCL
380,APCL
381,APCL
383,APCL
384,APCL
385,APCL
386,APCL
387,APCL
388,APCL
389,APCL
390,APCL
391,APCL
392,APCL
393,APCL
394,APCL
395,APCL
396,APCL
397,APCL
398,APCL
399,APCL
400,APCL
401,APCL
403,APCL
404,APCL
405,APCL
406,APCL
407,APCL
408,APCL
409,APCL
410,APCL
411,APCL
412,APCL
413,APCL
414,APCL
416,APCL
417,APCL
418,APCL
420,APCL
421,APCL
422,APCL
423,APCL
424,APCL
425,APCL
426,APCL
427,APCL
428,APCL
429,APCL
430,APCL
431,APCL
432,APCL
433,APCL
434,APCL
435,APCL
436,APCL
437,APCL
438,APCL
445,APCL
446,APCL
447,APCL
448,APCL
449,APCL
450,APCL
451,APCL
452,APCL
453,APCL
454,APCL
455,APCL
456,APCL
457,APCL
458,APCL
459,APCL
460,APCL
461,APCL
462,APCL
463,APCL
464,APCL
466,PRBI
467,APCL
468,APCL
469,APCL
470,APCL
471,APCL
472,APCL
473,APCL
474,APCL
475,APCL
476,APCL
477,APCL
478,APCL
479,APCL
480,APCL
481,APCL
482,APCL
483,APCL
484,APCL
485,APCL
486,APCL
487,APCL
488,APCL
489,APCL
490,APCL
491,APCL
492,APCL
493,APCL
494,APCL
495,APCL
496,APCL
497,APCL
498,APCL
499,APCL
500,APCL
501,APCL
502,APCL
503,APCL
504,APCL
506,APCL
507,APCL
508,APCL
509,APCL
510,PRBI
511,APCL
512,APCL
513,APCL
514,APCL
515,APCL
516,APCL
517,APCL
518,APCL
519,APCL
520,APCL
521,APCL
522,APCL
523,APCL
524,APCL
525,APCL
526,APCL
527,APCL
528,APCL
529,APCL
530,APCL
531,APCL
532,APCL
533,APCL
534,APCL
535,APCL
536,APCL
537,APCL
538,APCL
539,APCL
540,APCL
541,APCL
542,APCL
543,APCL
544,APCL
545,APCL
546,APCL
547,APCL
549,APCL
550,APCL
551,APCL
552,APCL
