      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.07895     0.02632     0.07500     0.02500     0.07500     0.05000     0.02381     0.02500     0.02632     0.08824     0.00000     0.07895     0.09091     0.07895     0.05263     0.07500     0.02500
           2     0.21429     0.25000     0.28947     0.31579     0.22500     0.32500     0.20000     0.35000     0.26190     0.25000     0.21053     0.26471     0.42105     0.39474     0.28788     0.18421     0.39474     0.25000     0.35000
           3     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02381     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
           4     0.28571     0.20000     0.15789     0.18421     0.25000     0.12500     0.10000     0.15000     0.11905     0.12500     0.23684     0.11765     0.15789     0.10526     0.09091     0.21053     0.07895     0.15000     0.17500
           5     0.42857     0.50000     0.39474     0.39474     0.45000     0.35000     0.57500     0.42500     0.47619     0.57500     0.44737     0.44118     0.31579     0.34211     0.50000     0.42105     0.42105     0.40000     0.37500
           6     0.07143     0.00000     0.05263     0.00000     0.00000     0.02500     0.02500     0.02500     0.00000     0.00000     0.02632     0.05882     0.05263     0.05263     0.01515     0.05263     0.02632     0.07500     0.02500
           7     0.00000     0.02500     0.00000     0.02632     0.00000     0.07500     0.02500     0.00000     0.07143     0.00000     0.05263     0.02941     0.02632     0.00000     0.00000     0.02632     0.00000     0.05000     0.02500
           8     0.00000     0.02500     0.02632     0.05263     0.00000     0.07500     0.00000     0.00000     0.02381     0.02500     0.00000     0.00000     0.02632     0.02632     0.01515     0.02632     0.02632     0.00000     0.02500
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.07895     0.02632     0.07500     0.02500     0.07500     0.05000     0.02381     0.02500     0.02632     0.08824     0.00000     0.07895     0.09091     0.07895     0.05263     0.07500     0.02500
           2     0.21429     0.25000     0.28947     0.31579     0.22500     0.32500     0.20000     0.35000     0.26190     0.25000     0.21053     0.26471     0.42105     0.39474     0.28788     0.18421     0.39474     0.25000     0.35000
           3     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02381     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
           4     0.28571     0.20000     0.15789     0.18421     0.25000     0.12500     0.10000     0.15000     0.11905     0.12500     0.23684     0.11765     0.15789     0.10526     0.09091     0.21053     0.07895     0.15000     0.17500
           5     0.42857     0.50000     0.39474     0.39474     0.45000     0.35000     0.57500     0.42500     0.47619     0.57500     0.44737     0.44118     0.31579     0.34211     0.50000     0.42105     0.42105     0.40000     0.37500
           6     0.07143     0.00000     0.05263     0.00000     0.00000     0.02500     0.02500     0.02500     0.00000     0.00000     0.02632     0.05882     0.05263     0.05263     0.01515     0.05263     0.02632     0.07500     0.02500
           7     0.00000     0.02500     0.00000     0.02632     0.00000     0.07500     0.02500     0.00000     0.07143     0.00000     0.05263     0.02941     0.02632     0.00000     0.00000     0.02632     0.00000     0.05000     0.02500
           8     0.00000     0.02500     0.02632     0.05263     0.00000     0.07500     0.00000     0.00000     0.02381     0.02500     0.00000     0.00000     0.02632     0.02632     0.01515     0.02632     0.02632     0.00000     0.02500
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
