      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.10000     0.16667     0.08333     0.10526     0.03333     0.08824     0.15000     0.02632     0.13889     0.18750     0.07895     0.08333     0.12500     0.07143     0.16667     0.10000     0.16667     0.25000     0.19444
           2     0.90000     0.80000     0.80556     0.76316     0.86667     0.82353     0.70000     0.81579     0.63889     0.68750     0.71053     0.79167     0.75000     0.71429     0.78333     0.73333     0.80556     0.50000     0.63889
           3     0.00000     0.00000     0.02778     0.00000     0.00000     0.02941     0.00000     0.02632     0.11111     0.00000     0.05263     0.00000     0.06250     0.03571     0.00000     0.03333     0.00000     0.02778     0.02778
           4     0.00000     0.03333     0.05556     0.10526     0.10000     0.02941     0.10000     0.05263     0.11111     0.03125     0.13158     0.08333     0.03125     0.14286     0.03333     0.06667     0.00000     0.08333     0.13889
           5     0.00000     0.00000     0.02778     0.02632     0.00000     0.02941     0.05000     0.07895     0.00000     0.09375     0.02632     0.04167     0.03125     0.03571     0.01667     0.06667     0.02778     0.13889     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.10000     0.16667     0.08333     0.10526     0.03333     0.08824     0.15000     0.02632     0.13889     0.18750     0.07895     0.08333     0.12500     0.07143     0.16667     0.10000     0.16667     0.25000     0.19444
           2     0.90000     0.80000     0.80556     0.76316     0.86667     0.82353     0.70000     0.81579     0.63889     0.68750     0.71053     0.79167     0.75000     0.71429     0.78333     0.73333     0.80556     0.50000     0.63889
           3     0.00000     0.00000     0.02778     0.00000     0.00000     0.02941     0.00000     0.02632     0.11111     0.00000     0.05263     0.00000     0.06250     0.03571     0.00000     0.03333     0.00000     0.02778     0.02778
           4     0.00000     0.03333     0.05556     0.10526     0.10000     0.02941     0.10000     0.05263     0.11111     0.03125     0.13158     0.08333     0.03125     0.14286     0.03333     0.06667     0.00000     0.08333     0.13889
           5     0.00000     0.00000     0.02778     0.02632     0.00000     0.02941     0.05000     0.07895     0.00000     0.09375     0.02632     0.04167     0.03125     0.03571     0.01667     0.06667     0.02778     0.13889     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
