      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.05000     0.00000     0.00000     0.00000     0.02500     0.00000     0.02632
          10     0.00000     0.11111     0.13158     0.05000     0.11765     0.11765     0.13889     0.09375     0.07895     0.15625     0.05556     0.06250     0.27500     0.17647     0.21875     0.18750     0.20000     0.05556     0.18421
           3     0.64286     0.47222     0.44737     0.50000     0.38235     0.47059     0.27778     0.46875     0.55263     0.37500     0.52778     0.65625     0.32500     0.41176     0.35938     0.31250     0.27500     0.41667     0.36842
           4     0.00000     0.00000     0.07895     0.02500     0.02941     0.02941     0.02778     0.00000     0.10526     0.03125     0.02778     0.00000     0.02500     0.02941     0.00000     0.09375     0.02500     0.05556     0.07895
           5     0.00000     0.00000     0.02632     0.00000     0.00000     0.02941     0.02778     0.00000     0.00000     0.00000     0.02778     0.03125     0.00000     0.00000     0.03125     0.03125     0.00000     0.02778     0.02632
           6     0.00000     0.02778     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.05263     0.03125     0.05556     0.00000     0.00000     0.00000     0.06250     0.00000     0.05000     0.00000     0.00000
           7     0.07143     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000
           8     0.28571     0.38889     0.28947     0.35000     0.47059     0.35294     0.52778     0.37500     0.21053     0.40625     0.30556     0.21875     0.32500     0.38235     0.32812     0.34375     0.40000     0.44444     0.31579
           9     0.00000     0.00000     0.02632     0.02500     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.05000     0.00000     0.00000     0.00000     0.02500     0.00000     0.02632
          10     0.00000     0.11111     0.13158     0.05000     0.11765     0.11765     0.13889     0.09375     0.07895     0.15625     0.05556     0.06250     0.27500     0.17647     0.21875     0.18750     0.20000     0.05556     0.18421
           3     0.64286     0.47222     0.44737     0.50000     0.38235     0.47059     0.27778     0.46875     0.55263     0.37500     0.52778     0.65625     0.32500     0.41176     0.35938     0.31250     0.27500     0.41667     0.36842
           4     0.00000     0.00000     0.07895     0.02500     0.02941     0.02941     0.02778     0.00000     0.10526     0.03125     0.02778     0.00000     0.02500     0.02941     0.00000     0.09375     0.02500     0.05556     0.07895
           5     0.00000     0.00000     0.02632     0.00000     0.00000     0.02941     0.02778     0.00000     0.00000     0.00000     0.02778     0.03125     0.00000     0.00000     0.03125     0.03125     0.00000     0.02778     0.02632
           6     0.00000     0.02778     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.05263     0.03125     0.05556     0.00000     0.00000     0.00000     0.06250     0.00000     0.05000     0.00000     0.00000
           7     0.07143     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000
           8     0.28571     0.38889     0.28947     0.35000     0.47059     0.35294     0.52778     0.37500     0.21053     0.40625     0.30556     0.21875     0.32500     0.38235     0.32812     0.34375     0.40000     0.44444     0.31579
           9     0.00000     0.00000     0.02632     0.02500     0.00000     0.00000     0.00000     0.03125     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
