      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02941     0.02500     0.02632     0.00000     0.00000     0.00000     0.00000     0.00000
          10     0.07143     0.05000     0.10000     0.07500     0.05000     0.07500     0.05000     0.11905     0.10000     0.05882     0.02500     0.05882     0.02500     0.05263     0.03226     0.02941     0.05263     0.08333     0.14706
          11     0.28571     0.07500     0.12500     0.10000     0.10000     0.15000     0.02500     0.02381     0.07500     0.11765     0.07500     0.17647     0.12500     0.05263     0.09677     0.05882     0.07895     0.13889     0.17647
          12     0.00000     0.00000     0.00000     0.02500     0.02500     0.00000     0.02500     0.00000     0.07500     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.02778     0.02941
          13     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.02632     0.00000     0.00000     0.00000     0.00000     0.02941
          14     0.07143     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.01613     0.00000     0.00000     0.00000     0.00000
          17     0.42857     0.07500     0.12500     0.17500     0.12500     0.07500     0.17500     0.11905     0.10000     0.02941     0.27500     0.08824     0.20000     0.07895     0.12903     0.20588     0.15789     0.13889     0.05882
           2     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.02941     0.00000     0.00000     0.02941
           4     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02381     0.00000     0.00000     0.02500     0.00000     0.00000     0.02632     0.01613     0.02941     0.00000     0.00000     0.00000
           5     0.00000     0.02500     0.00000     0.02500     0.02500     0.05000     0.02500     0.00000     0.02500     0.05882     0.05000     0.00000     0.07500     0.00000     0.01613     0.02941     0.02632     0.00000     0.05882
           6     0.00000     0.07500     0.12500     0.02500     0.07500     0.05000     0.05000     0.11905     0.15000     0.20588     0.12500     0.05882     0.05000     0.07895     0.09677     0.20588     0.07895     0.13889     0.02941
           7     0.07143     0.52500     0.47500     0.32500     0.42500     0.50000     0.35000     0.38095     0.35000     0.38235     0.25000     0.29412     0.30000     0.36842     0.38710     0.29412     0.39474     0.30556     0.35294
           8     0.07143     0.15000     0.05000     0.12500     0.10000     0.05000     0.27500     0.09524     0.12500     0.08824     0.10000     0.29412     0.15000     0.28947     0.19355     0.11765     0.18421     0.16667     0.08824
           9     0.00000     0.02500     0.00000     0.07500     0.05000     0.05000     0.02500     0.11905     0.00000     0.05882     0.02500     0.00000     0.02500     0.00000     0.01613     0.00000     0.02632     0.00000     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02941     0.02500     0.02632     0.00000     0.00000     0.00000     0.00000     0.00000
          10     0.07143     0.05000     0.10000     0.07500     0.05000     0.07500     0.05000     0.11905     0.10000     0.05882     0.02500     0.05882     0.02500     0.05263     0.03226     0.02941     0.05263     0.08333     0.14706
          11     0.28571     0.07500     0.12500     0.10000     0.10000     0.15000     0.02500     0.02381     0.07500     0.11765     0.07500     0.17647     0.12500     0.05263     0.09677     0.05882     0.07895     0.13889     0.17647
          12     0.00000     0.00000     0.00000     0.02500     0.02500     0.00000     0.02500     0.00000     0.07500     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.02778     0.02941
          13     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.02632     0.00000     0.00000     0.00000     0.00000     0.02941
          14     0.07143     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.01613     0.00000     0.00000     0.00000     0.00000
          17     0.42857     0.07500     0.12500     0.17500     0.12500     0.07500     0.17500     0.11905     0.10000     0.02941     0.27500     0.08824     0.20000     0.07895     0.12903     0.20588     0.15789     0.13889     0.05882
           2     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.02941     0.00000     0.00000     0.02941
           4     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02381     0.00000     0.00000     0.02500     0.00000     0.00000     0.02632     0.01613     0.02941     0.00000     0.00000     0.00000
           5     0.00000     0.02500     0.00000     0.02500     0.02500     0.05000     0.02500     0.00000     0.02500     0.05882     0.05000     0.00000     0.07500     0.00000     0.01613     0.02941     0.02632     0.00000     0.05882
           6     0.00000     0.07500     0.12500     0.02500     0.07500     0.05000     0.05000     0.11905     0.15000     0.20588     0.12500     0.05882     0.05000     0.07895     0.09677     0.20588     0.07895     0.13889     0.02941
           7     0.07143     0.52500     0.47500     0.32500     0.42500     0.50000     0.35000     0.38095     0.35000     0.38235     0.25000     0.29412     0.30000     0.36842     0.38710     0.29412     0.39474     0.30556     0.35294
           8     0.07143     0.15000     0.05000     0.12500     0.10000     0.05000     0.27500     0.09524     0.12500     0.08824     0.10000     0.29412     0.15000     0.28947     0.19355     0.11765     0.18421     0.16667     0.08824
           9     0.00000     0.02500     0.00000     0.07500     0.05000     0.05000     0.02500     0.11905     0.00000     0.05882     0.02500     0.00000     0.02500     0.00000     0.01613     0.00000     0.02632     0.00000     0.00000
