Marker,Sample,Reason
ACH_A3,PRBI3,low peaks
ACH_A3,PRBI74,low peaks
ACH_A8,PRBI51,low peaks
ACH_A7,PRBI109,missing
ACH_A7,PRBI118,missing
ACH_A7,PRBI121,missing
ACH_A7,PRBI138,missing
ACH_A7,PRBI15,missing
ACH_A7,PRBI150,missing
ACH_A7,PRBI152,missing
ACH_A7,PRBI154,missing
ACH_A7,PRBI155,missing
ACH_A7,PRBI168,missing
ACH_A7,PRBI17,missing
ACH_A7,PRBI183,missing
ACH_A7,PRBI186,missing
ACH_A7,PRBI2,missing
ACH_A7,PRBI216,missing
ACH_A7,PRBI226,missing
ACH_A7,PRBI227,missing
ACH_A7,PRBI231,missing
ACH_A7,PRBI3,missing
ACH_A7,PRBI327,missing
ACH_A7,PRBI329,missing
ACH_A7,PRBI330,missing
ACH_A7,PRBI331,missing
ACH_A7,PRBI336,missing
ACH_A7,PRBI340,missing
ACH_A7,PRBI342,missing
ACH_A7,PRBI51,missing
ACH_A7,PRBI6,missing
ACH_A7,PRBI73,missing
ACH_A7,PRBI74,missing
ACH_A7,PRBI76,missing
ACH_A7,PRBI79,missing
ACH_A7,PRBI8,missing
ACH_A7,PRBI80,missing
ACH_A7,PRBI82,missing
ACH_A7,PRBI85,missing
ACH_A7,PRBI87,missing
ACH_A7,PRBI99,missing
ACH_C1,PRBI109,missing
ACH_C1,PRBI118,missing
ACH_C1,PRBI121,missing
ACH_C1,PRBI150,missing
ACH_C1,PRBI152,missing
ACH_C1,PRBI154,missing
ACH_C1,PRBI155,missing
ACH_C1,PRBI168,missing
ACH_C1,PRBI186,missing
ACH_C1,PRBI216,missing
ACH_C1,PRBI226,missing
ACH_C1,PRBI227,missing
ACH_C1,PRBI231,missing
ACH_C1,PRBI327,missing
ACH_C1,PRBI329,missing
ACH_C1,PRBI330,missing
ACH_C1,PRBI331,missing
ACH_C1,PRBI336,missing
ACH_C1,PRBI342,missing
ACH_C1,PRBI76,missing
ACH_C1,PRBI79,missing
ACH_C1,PRBI80,missing
ACH_C1,PRBI82,missing
ACH_C1,PRBI85,missing
ACH_C1,PRBI87,missing
ACH_C1,PRBI99,missing
ACH_D1,PRBI109,missing
ACH_D1,PRBI117,missing
ACH_D1,PRBI118,missing
ACH_D1,PRBI121,missing
ACH_D1,PRBI138,missing
ACH_D1,PRBI150,missing
ACH_D1,PRBI152,missing
ACH_D1,PRBI154,missing
ACH_D1,PRBI155,missing
ACH_D1,PRBI168,missing
ACH_D1,PRBI216,missing
ACH_D1,PRBI226,missing
ACH_D1,PRBI227,missing
ACH_D1,PRBI231,missing
ACH_D1,PRBI327,missing
ACH_D1,PRBI329,missing
ACH_D1,PRBI330,missing
ACH_D1,PRBI331,missing
ACH_D1,PRBI336,missing
ACH_D1,PRBI342,missing
ACH_D1,PRBI76,missing
ACH_D1,PRBI79,missing
ACH_D1,PRBI80,missing
ACH_D1,PRBI82,missing
ACH_D1,PRBI85,missing
ACH_D1,PRBI87,missing
ACH_D1,PRBI99,missing
ACH_A3,PRBI109,missing
ACH_A3,PRBI121,missing
ACH_A3,PRBI150,missing
ACH_A3,PRBI154,missing
ACH_A3,PRBI155,missing
ACH_A3,PRBI158,missing
ACH_A3,PRBI168,missing
ACH_A3,PRBI17,missing
ACH_A3,PRBI210,missing
ACH_A3,PRBI216,missing
ACH_A3,PRBI227,missing
ACH_A3,PRBI231,missing
ACH_A3,PRBI327,missing
ACH_A3,PRBI330,missing
ACH_A3,PRBI331,missing
ACH_A3,PRBI342,missing
ACH_A3,PRBI466,missing
ACH_A3,PRBI76,missing
ACH_A3,PRBI79,missing
ACH_A3,PRBI80,missing
ACH_A3,PRBI82,missing
ACH_A3,PRBI85,missing
ACH_A3,PRBI99,missing
ACH_A8,PRBI109,missing
ACH_A8,PRBI116,missing
ACH_A8,PRBI121,missing
ACH_A8,PRBI138,missing
ACH_A8,PRBI150,missing
ACH_A8,PRBI152,missing
ACH_A8,PRBI154,missing
ACH_A8,PRBI155,missing
ACH_A8,PRBI158,missing
ACH_A8,PRBI164,missing
ACH_A8,PRBI168,missing
ACH_A8,PRBI17,missing
ACH_A8,PRBI186,missing
ACH_A8,PRBI210,missing
