Marker,Sample,Reason
ACH_A11,PRBI109,missing
ACH_A11,PRBI137,missing
ACH_A11,PRBI138,missing
ACH_A11,PRBI157,missing
ACH_A11,PRBI164,missing
ACH_A11,PRBI17,missing
ACH_A11,PRBI178,missing
ACH_A11,PRBI183,missing
ACH_A11,PRBI209,missing
ACH_A11,PRBI210,missing
ACH_A11,PRBI216,missing
ACH_A11,PRBI227,missing
ACH_A11,PRBI228,missing
ACH_A11,PRBI230,missing
ACH_A11,PRBI261,missing
ACH_A11,PRBI30,missing
ACH_A11,PRBI334,missing
ACH_A11,PRBI336,missing
ACH_A11,PRBI36,missing
ACH_A11,PRBI41,missing
ACH_A11,PRBI7,missing
ACH_A11,PRBI78,missing
ACH_A11,PRBI8,missing
ACH_A4,PRBI109,missing
ACH_A4,PRBI121,missing
ACH_A4,PRBI137,missing
ACH_A4,PRBI138,missing
ACH_A4,PRBI157,missing
ACH_A4,PRBI228,missing
ACH_A4,PRBI261,missing
ACH_A4,PRBI330,missing
ACH_A4,PRBI336,missing
ACH_B9,PRBI12,missing
ACH_B9,PRBI137,missing
ACH_B9,PRBI138,missing
ACH_B9,PRBI157,missing
ACH_B9,PRBI164,missing
ACH_B9,PRBI228,missing
ACH_B9,PRBI261,missing
ACH_B9,PRBI336,missing
ACH_B9,PRBI99,missing
NNG_028,PRBI109,missing
NNG_028,PRBI123,missing
NNG_028,PRBI137,missing
NNG_028,PRBI138,missing
NNG_028,PRBI148,missing
NNG_028,PRBI151,missing
NNG_028,PRBI157,missing
NNG_028,PRBI17,missing
NNG_028,PRBI179,missing
NNG_028,PRBI183,missing
NNG_028,PRBI2,missing
NNG_028,PRBI216,missing
NNG_028,PRBI228,missing
NNG_028,PRBI229,missing
NNG_028,PRBI233,missing
NNG_028,PRBI261,missing
NNG_028,PRBI327,missing
NNG_028,PRBI329,missing
NNG_028,PRBI336,missing
NNG_028,PRBI339,missing
NNG_028,PRBI363,missing
NNG_028,PRBI37,missing
NNG_028,PRBI78,missing
ACH_A11,PRBI6,redo
ACH_A11,PRBI23,redo
ACH_A11,PRBI14,redo
ACH_A11,PRBI8,redo
ACH_A11,PRBI71,redo
ACH_A11,PRBI146,redo
ACH_A11,PRBI335,redo
ACH_A11,PRBI84,redo
ACH_A11,PRBI333,redo
ACH_A11,PRBI179,redo
ACH_A11,PRBI183,redo
ACH_A11,PRBI30,redo
ACH_A11,PRBI118,redo
ACH_A11,PRBI341,redo
ACH_A11,PRBI157,redo
ACH_A11,PRBI167,redo
ACH_A11,PRBI11,redo
ACH_A11,PRBI151,redo
ACH_A11,PRBI213,redo
ACH_A11,PRBI29,redo
ACH_A4,PRBI114,redo
ACH_A4,PRBI113,redo
ACH_A4,PRBI25,redo
ACH_A4,PRBI51,redo
ACH_A4,PRBI4,redo
ACH_A4,PRBI184,redo
ACH_A4,PRBI174,redo
ACH_A4,PRBI109,redo
ACH_A4,PRBI44,redo
ACH_A4,PRBI234,redo
ACH_A4,PRBI152,redo
ACH_A4,PRBI147,redo
ACH_A4,PRBI115,redo
ACH_A4,PRBI22,redo
ACH_A4,PRBI237,redo
ACH_A4,PRBI153,redo
ACH_A4,PRBI233,redo
ACH_A4,PRBI155,redo
ACH_A4,PRBI331,redo
ACH_A4,PRBI179,redo
ACH_B9,PRBI186,redo
ACH_B9,PRBI170,redo
ACH_B9,PRBI25,redo
ACH_B9,PRBI42,redo
ACH_B9,PRBI116,redo
ACH_B9,PRBI337,redo
ACH_B9,PRBI10,redo
ACH_B9,PRBI33,redo
ACH_B9,PRBI153,redo
ACH_B9,PRBI83,redo
ACH_B9,PRBI234,redo
ACH_B9,PRBI156,redo
ACH_B9,PRBI230,redo
ACH_B9,PRBI161,redo
ACH_B9,PRBI231,redo
ACH_B9,PRBI174,redo
ACH_B9,PRBI40,redo
ACH_B9,PRBI73,redo
ACH_B9,PRBI215,redo
ACH_B9,PRBI466,redo
NNG_028,PRBI183,redo
NNG_028,PRBI115,redo
NNG_028,PRBI42,redo
NNG_028,PRBI325,redo
NNG_028,PRBI226,redo
NNG_028,PRBI24,redo
NNG_028,PRBI149,redo
NNG_028,PRBI152,redo
NNG_028,PRBI186,redo
NNG_028,PRBI324,redo
NNG_028,PRBI45,redo
NNG_028,PRBI331,redo
NNG_028,PRBI232,redo
NNG_028,PRBI330,redo
NNG_028,PRBI29,redo
