Marker,Sample,Reason
APR_Cf29,137,homo
APR_Cf29,157,homo
APR_Cf29,213,homo
APR_Cf29,179,homo
APR_Cf29,183,homo
APR_Cf29,116,homo
APR_Cf29,337,homo
APR_Cf29,153,homo
APR_Cf29,175,homo
APR_Cf29,332,homo
APR_Cf29,117,homo
APR_Cf29,339,homo
APR_Cf29,120,homo
APR_Cf29,335,homo
APR_Cf29,228,homo
APR_Cf29,236,homo
APR_Cf29,336,homo
APR_Cf29,210,homo
APR_Cf29,179,homo
APR_Cf29,99,homo
APR_Cf29,342,homo
APR_Cf29,327,homo
NNG_012,466,homo
NNG_012,178,homo
NNG_012,239,homo
NNG_012,326,homo
NNG_012,137,homo
NNG_012,261,homo
NNG_012,98,homo
NNG_012,153,homo
NNG_012,175,homo
NNG_012,117,homo
NNG_012,214,homo
NNG_012,339,homo
NNG_012,170,homo
NNG_012,87,homo
NNG_012,189,homo
NNG_012,188,homo
NNG_012,77,homo
NNG_012,235,homo
NNG_012,236,homo
NNG_012,329,homo
NNG_012,168,homo
NNG_012,179,homo
NNG_012,180,homo
NNG_012,226,homo
NNG_012,82,homo
NNG_012,231,homo
NNG_012,154,homo
NNG_012,116,homo
NNG_012,155,homo
NNG_012,185,homo
NNG_012,150,homo
NNG_012,327,homo
NNG_012,26,homo
NNG_012,86,homo
NNG_012,149,homo
NNG_012,29,homo
NNG_012,112,homo
NNG_012,211,homo
NNG_012,30,homo
AC1359,178,homo
AC1359,337,homo
AC1359,332,homo
AC1359,341,homo
AC1359,151,homo
AC1359,109,homo
AC1359,154,homo
AC1359,211,homo
AC1359,112,homo
AC1359,211,homo
AC1359,114,homo
AC1359,72,homo
AC1359,115,homo
AC1359,15,homo
AC1359,169,homo
AC1359,16,homo
AC1359,45,homo
AC1359,168,dye
AC1359,340,dye
NNG_012,169,dye
NNG_012,24,dye
NNG_012,25,dye
NNG_012,31,dye
NNG_012,32,dye
NNG_012,33,dye
NNG_012,34,dye
AC1578,117,dye
AC1578,161,dye
AC1578,260,dye
AC1578,262,dye
AC1578,325,dye
AC1578,338,dye
AC1578,40,dye
APR_Cf29,149,homo
APR_Cf29,2,homo
NNG_012,174,homo
AC1578,1,homo
AC1578,10,homo
AC1578,114,homo
AC1578,115,homo
AC1578,118,homo
AC1578,119,homo
AC1578,120,homo
AC1578,121,homo
AC1578,122,homo
AC1578,14,homo
AC1578,147,homo
AC1578,154,homo
AC1578,155,homo
AC1578,157,homo
AC1578,6,homo
AC1578,167,homo
AC1578,168,homo
AC1578,169,homo
AC1578,17,homo
AC1578,174,homo
AC1578,178,homo
AC1578,179,homo
AC1578,180,homo
AC1578,184,homo
AC1578,185,homo
AC1578,188,homo
AC1578,20,homo
AC1578,210,homo
AC1578,228,homo
AC1578,229,homo
AC1578,23,homo
AC1578,234,homo
AC1578,236,homo
AC1578,237,homo
AC1578,238,homo
AC1578,239,homo
AC1578,25,homo
AC1578,26,homo
AC1578,260,homo
AC1578,261,homo
AC1578,262,homo
AC1578,3,homo
AC1578,30,homo
AC1578,324,homo
AC1578,325,homo
AC1578,327,homo
AC1578,33,homo
AC1578,331,homo
AC1578,339,homo
AC1578,35,homo
AC1578,37,homo
AC1578,40,homo
AC1578,42,homo
