"Sample","AC1359","AC1578","ACH_A11","ACH_A4","ACH_A7","ACH_A8","ACH_B9","ACH_C1","ACH_D1","APR_Cf29","APR_Cf39","NNG_012"
"PRBI146","1","1","","","","","","","","1","1",""
"PRBI86","1","1","","","","","","","","1","","1"
"PRBI186","","1","","","","","","","1","","",""
"PRBI112","","1","","","","","","","","","",""
"PRBI113","","1","","","","","","","","","1","1"
"PRBI175","","1","","","","","","","","","",""
"PRBI233","","1","","","","","","","","","1","1"
"PRBI337","","1","","","","","","","","","1",""
"PRBI84","","1","","","","","","","","","",""
"PRBI164","","","1","","","1","1","","","","1",""
"PRBI336","","","1","","","","","","","","",""
"PRBI137","","","","1","","","","","","","",""
"PRBI17","","","","1","","","","","","","",""
"PRBI168","","","","","1","","","1","","","",""
"PRBI155","","","","","","","","1","1","","",""
"PRBI226","","","","","","","","1","","","",""
"PRBI231","","","","","","","","1","","","",""
"PRBI330","","","","","","","","1","","","",""
"PRBI76","","","","","","","","1","1","","",""
"PRBI154","","","","","","","","","1","","1",""
"PRBI79","","","","","","","","","1","","",""
"PRBI80","","","","","","","","","1","","",""
"PRBI85","","","","","","","","","1","","",""
"PRBI87","","","","","","","","","1","","",""
"PRBI3","","","","","","","","","","1","",""
"PRBI211","","","","","","","","","","","1",""
"PRBI325","","","","","","","","","","","1",""
"PRBI51","","","","","","","","","","","1",""
"PRBI110","","","","","","","","","","","1",""
"PRBI138","","","","","","","","","","","1",""
"PRBI149","","","","","","","","","","","1",""
"PRBI178","","","","","","","","","","","1",""
"PRBI466","","","","","","","","","","","1",""
"PRBI35","","","","","","","","","","","","1"
