"Marker","Sample"
"AC1359","PRBI113"
"AC1359","PRBI146"
"AC1359","PRBI147"
"AC1359","PRBI233"
"AC1359","PRBI84"
"AC1359","PRBI86"
"APR_Cf29","PRBI113"
"APR_Cf29","PRBI146"
"APR_Cf29","PRBI17"
"APR_Cf29","PRBI188"
"APR_Cf29","PRBI215"
"APR_Cf29","PRBI233"
"APR_Cf29","PRBI328"
"APR_Cf29","PRBI51"
"APR_Cf29","PRBI84"
"APR_Cf29","PRBI86"
"APR_Cf29","PRBI87"
"NNG_012","PRBI113"
"NNG_012","PRBI115"
"NNG_012","PRBI146"
"NNG_012","PRBI147"
"NNG_012","PRBI168"
"NNG_012","PRBI233"
"NNG_012","PRBI35"
"NNG_012","PRBI86"
"AC1578","PRBI1"
"AC1578","PRBI112"
"AC1578","PRBI113"
"AC1578","PRBI138"
"AC1578","PRBI146"
"AC1578","PRBI15"
"AC1578","PRBI16"
"AC1578","PRBI161"
"AC1578","PRBI174"
"AC1578","PRBI175"
"AC1578","PRBI184"
"AC1578","PRBI186"
"AC1578","PRBI2"
"AC1578","PRBI211"
"AC1578","PRBI22"
"AC1578","PRBI233"
"AC1578","PRBI323"
"AC1578","PRBI325"
"AC1578","PRBI337"
"AC1578","PRBI363"
"AC1578","PRBI43"
"AC1578","PRBI465"
"AC1578","PRBI5"
"AC1578","PRBI7"
"AC1578","PRBI71"
"AC1578","PRBI75"
"AC1578","PRBI78"
"AC1578","PRBI8"
"AC1578","PRBI84"
"AC1578","PRBI85"
"AC1578","PRBI86"
"AC1578","PRBI9"
