,Sample,Marker,A1.AFG1,A2.AFG1,A1.AFG9,A2.AFG9,A1.AFG15,A2.AFG15,A1.AFG1.M,A2.AFG1.M,A1.AFG4.M,A2.AFG4.M,A1.AFG6.M,A2.AFG6.M,A1.AFG8.M,A2.AFG8.M,A1.AFG9.M,A2.AFG9.M,A1.AFG45,A2.AFG45,A1.AFG46,A2.AFG46,A1.AFG48,A2.AFG48,A1.AFG49,A2.AFG49,A1.AFG50,A2.AFG50,A1.AFG51,A2.AFG51,A1.AFG58,A2.AFG58,error,numgenos,A1consens,A2consens,hom
1,PRBI146,AC1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
2,PRBI146,AC1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
3,PRBI146,APR_Cf29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
4,PRBI146,APY_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
5,PRBI146,APY_44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
6,PRBI146,APY_45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
7,PRBI146,APY_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
8,PRBI146,NNG_012,NA,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,120,120,TRUE
9,PRBI146,ACH_A11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
10,PRBI146,ACH_A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,187,187,TRUE
11,PRBI146,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,FALSE
12,PRBI146,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,294,294,TRUE
13,PRBI146,ACH_A7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
14,PRBI146,ACH_C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,101,113,FALSE
15,PRBI146,ACH_D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,269,269,TRUE
16,PRBI146,APR_Cf8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
17,PRBI146,ACH_A3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,266,NA,NA,NA,NA,NA,NA,NA,1,264,266,FALSE
18,PRBI146,ACH_A8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,277,NA,NA,NA,NA,NA,NA,NA,1,277,277,TRUE
19,PRBI146,NNG_004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,253,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,FALSE
20,PRBI146,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,286,NA,NA,NA,NA,NA,NA,NA,1,284,286,FALSE
21,PRBI146,ACH_D8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
22,PRBI146,APR_Cf39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
