"Marker","Sample","reason"
"AC1359","PRBI146","missing"
"AC1359","PRBI113","missing"
"AC1359","PRBI86","missing"
"AC1578","PRBI146","missing"
"AC1578","PRBI186","missing"
"AC1578","PRBI4","missing"
"AC1578","PRBI112","missing"
"AC1578","PRBI113","missing"
"AC1578","PRBI175","missing"
"AC1578","PRBI233","missing"
"AC1578","PRBI337","missing"
"AC1578","PRBI84","missing"
"AC1578","PRBI86","missing"
"ACH_A11","PRBI164","missing"
"ACH_A11","PRBI336","missing"
"ACH_A4","PRBI109","missing"
"ACH_A4","PRBI137","missing"
"ACH_A4","PRBI17","missing"
"ACH_A4","PRBI261","missing"
"ACH_A4","PRBI336","missing"
"ACH_A7","PRBI109","missing"
"ACH_A7","PRBI168","missing"
"ACH_A8","PRBI164","missing"
"ACH_B9","PRBI184","missing"
"ACH_B9","PRBI4","missing"
"ACH_B9","PRBI11","missing"
"ACH_B9","PRBI16","missing"
"ACH_B9","PRBI164","missing"
"ACH_B9","PRBI174","missing"
"ACH_B9","PRBI20","missing"
"ACH_B9","PRBI209","missing"
"ACH_B9","PRBI228","missing"
"ACH_B9","PRBI230","missing"
"ACH_B9","PRBI231","missing"
"ACH_B9","PRBI234","missing"
"ACH_B9","PRBI239","missing"
"ACH_B9","PRBI25","missing"
"ACH_B9","PRBI330","missing"
"ACH_B9","PRBI42","missing"
"ACH_B9","PRBI466","missing"
"ACH_B9","PRBI7","missing"
"ACH_B9","PRBI73","missing"
"ACH_C1","PRBI109","missing"
"ACH_C1","PRBI121","missing"
"ACH_C1","PRBI150","missing"
"ACH_C1","PRBI154","missing"
"ACH_C1","PRBI155","missing"
"ACH_C1","PRBI168","missing"
"ACH_C1","PRBI226","missing"
"ACH_C1","PRBI227","missing"
"ACH_C1","PRBI231","missing"
"ACH_C1","PRBI330","missing"
"ACH_C1","PRBI336","missing"
"ACH_C1","PRBI342","missing"
"ACH_C1","PRBI76","missing"
"ACH_C1","PRBI82","missing"
"ACH_C1","PRBI99","missing"
"ACH_D1","PRBI186","missing"
"ACH_D1","PRBI109","missing"
"ACH_D1","PRBI154","missing"
"ACH_D1","PRBI155","missing"
"ACH_D1","PRBI76","missing"
"ACH_D1","PRBI79","missing"
"ACH_D1","PRBI80","missing"
"ACH_D1","PRBI85","missing"
"ACH_D1","PRBI87","missing"
"APR_Cf29","PRBI146","missing"
"APR_Cf29","PRBI113","missing"
"APR_Cf29","PRBI3","missing"
"APR_Cf29","PRBI86","missing"
"APR_Cf39","PRBI146","missing"
"APR_Cf39","PRBI211","missing"
"APR_Cf39","PRBI325","missing"
"APR_Cf39","PRBI51","missing"
"APR_Cf39","PRBI109","missing"
"APR_Cf39","PRBI110","missing"
"APR_Cf39","PRBI113","missing"
"APR_Cf39","PRBI138","missing"
"APR_Cf39","PRBI149","missing"
"APR_Cf39","PRBI154","missing"
"APR_Cf39","PRBI164","missing"
"APR_Cf39","PRBI178","missing"
"APR_Cf39","PRBI233","missing"
"APR_Cf39","PRBI337","missing"
"APR_Cf39","PRBI466","missing"
"NNG_004","PRBI154","missing"
"NNG_004","PRBI155","missing"
"NNG_004","PRBI215","missing"
"NNG_004","PRBI327","missing"
"NNG_004","PRBI330","missing"
"NNG_004","PRBI331","missing"
"NNG_004","PRBI76","missing"
"NNG_004","PRBI85","missing"
"NNG_004","PRBI99","missing"
"NNG_007","PRBI71","missing"
"NNG_007","PRBI150","missing"
"NNG_007","PRBI152","missing"
"NNG_007","PRBI76","missing"
"NNG_007","PRBI80","missing"
"NNG_012","PRBI113","missing"
"NNG_012","PRBI233","missing"
"NNG_012","PRBI35","missing"
"NNG_012","PRBI86","missing"
"NNG_028","PRBI232","missing"
"NNG_028","PRBI330","missing"
"NNG_028","PRBI336","missing"
