,Sample,Marker,A1.AFG1,A2.AFG1,A1.AFG9,A2.AFG9,A1.AFG15,A2.AFG15,A1.AFG1.M,A2.AFG1.M,A1.AFG4.M,A2.AFG4.M,A1.AFG6.M,A2.AFG6.M,A1.AFG8.M,A2.AFG8.M,A1.AFG9.M,A2.AFG9.M,A1.AFG45,A2.AFG45,A1.AFG46,A2.AFG46,A1.AFG48,A2.AFG48,A1.AFG49,A2.AFG49,A1.AFG50,A2.AFG50,A1.AFG51,A2.AFG51,A1.AFG58,A2.AFG58,error,numgenos,A1consens,A2consens,hom
55,PRBI184,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,182,179,182,TRUE,3,179,182,FALSE
275,PRBI4,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,182,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,3,182,190,FALSE
341,PRBI71,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,2,182,190,FALSE
350,PRBI71,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,290,NA,NA,NA,NA,288,288,NA,NA,NA,NA,288,290,TRUE,3,288,290,FALSE
397,PRBI109,AC1359,NA,NA,NA,NA,245,275,245,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,245,NA,NA,NA,NA,TRUE,3,245,275,FALSE
429,PRBI11,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,167,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,186,TRUE,3,167,186,FALSE
473,PRBI112,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
526,PRBI114,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
548,PRBI115,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
592,PRBI117,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
