"","AC1359","APR_Cf29","NNG_012"
"1","PRBI109","PRBI109","PRBI109"
"2","PRBI112","PRBI110","PRBI110"
"3","PRBI113","PRBI112","PRBI112"
"4","PRBI114","PRBI113","PRBI113"
"5","PRBI115","PRBI115","PRBI114"
"6","PRBI137","PRBI116","PRBI115"
"7","PRBI14","PRBI117","PRBI116"
"8","PRBI146","PRBI118","PRBI117"
"9","PRBI147","PRBI119","PRBI119"
"10","PRBI149","PRBI120","PRBI120"
"11","PRBI15","PRBI121","PRBI121"
"12","PRBI151","PRBI122","PRBI122"
"13","PRBI154","PRBI123","PRBI137"
"14","PRBI155","PRBI137","PRBI138"
"15","PRBI16","PRBI138","PRBI146"
"16","PRBI164","PRBI146","PRBI147"
"17","PRBI168","PRBI147","PRBI148"
"18","PRBI169","PRBI148","PRBI149"
"19","PRBI17","PRBI149","PRBI150"
"20","PRBI174","PRBI150","PRBI151"
"21","PRBI175","PRBI151","PRBI152"
"22","PRBI178","PRBI152","PRBI153"
"23","PRBI2","PRBI153","PRBI154"
"24","PRBI211","PRBI154","PRBI155"
"25","PRBI230","PRBI155","PRBI156"
"26","PRBI233","PRBI156","PRBI157"
"27","PRBI235","PRBI157","PRBI158"
"28","PRBI25","PRBI158","PRBI164"
"29","PRBI331","PRBI159","PRBI168"
"30","PRBI332","PRBI16","PRBI169"
"31","PRBI337","PRBI160","PRBI170"
"32","PRBI340","PRBI164","PRBI175"
"33","PRBI341","PRBI167","PRBI178"
"34","PRBI35","PRBI168","PRBI180"
"35","PRBI42","PRBI17","PRBI181"
"36","PRBI45","PRBI170","PRBI183"
"37","PRBI5","PRBI175","PRBI188"
"38","PRBI6","PRBI178","PRBI189"
"39","PRBI7","PRBI179","PRBI209"
"40","PRBI72","PRBI180","PRBI211"
"41","PRBI75","PRBI181","PRBI213"
"42","PRBI76","PRBI183","PRBI214"
"43","PRBI77","PRBI185","PRBI216"
"44","PRBI78","PRBI186","PRBI226"
"45","PRBI8","PRBI188","PRBI227"
"46","PRBI84","PRBI189","PRBI228"
"47","PRBI86","PRBI2","PRBI230"
"48","PRBI87","PRBI209","PRBI231"
"49","PRBI98","PRBI210","PRBI232"
"50",NA,"PRBI213","PRBI233"
"51",NA,"PRBI214","PRBI234"
"52",NA,"PRBI215","PRBI235"
"53",NA,"PRBI216","PRBI236"
"54",NA,"PRBI226","PRBI239"
"55",NA,"PRBI227","PRBI24"
"56",NA,"PRBI228","PRBI25"
"57",NA,"PRBI229","PRBI26"
"58",NA,"PRBI230","PRBI261"
"59",NA,"PRBI231","PRBI263"
"60",NA,"PRBI232","PRBI29"
"61",NA,"PRBI233","PRBI30"
"62",NA,"PRBI234","PRBI31"
"63",NA,"PRBI235","PRBI32"
"64",NA,"PRBI236","PRBI324"
"65",NA,"PRBI238","PRBI326"
"66",NA,"PRBI239","PRBI327"
"67",NA,"PRBI261","PRBI329"
"68",NA,"PRBI263","PRBI33"
"69",NA,"PRBI29","PRBI330"
"70",NA,"PRBI3","PRBI331"
"71",NA,"PRBI324","PRBI332"
"72",NA,"PRBI326","PRBI333"
"73",NA,"PRBI327","PRBI334"
"74",NA,"PRBI328","PRBI336"
"75",NA,"PRBI329","PRBI337"
"76",NA,"PRBI330","PRBI339"
"77",NA,"PRBI331","PRBI34"
"78",NA,"PRBI332","PRBI340"
"79",NA,"PRBI333","PRBI341"
"80",NA,"PRBI334","PRBI35"
"81",NA,"PRBI335","PRBI36"
"82",NA,"PRBI336","PRBI37"
"83",NA,"PRBI337","PRBI40"
"84",NA,"PRBI338","PRBI466"
"85",NA,"PRBI339","PRBI510"
"86",NA,"PRBI340","PRBI72"
"87",NA,"PRBI341","PRBI74"
"88",NA,"PRBI342","PRBI76"
"89",NA,"PRBI364","PRBI77"
"90",NA,"PRBI46","PRBI79"
"91",NA,"PRBI466","PRBI80"
"92",NA,"PRBI51","PRBI82"
"93",NA,"PRBI510","PRBI84"
"94",NA,"PRBI72","PRBI85"
"95",NA,"PRBI76","PRBI86"
"96",NA,"PRBI77","PRBI87"
"97",NA,"PRBI79","PRBI98"
"98",NA,"PRBI8",NA
"99",NA,"PRBI80",NA
"100",NA,"PRBI81",NA
"101",NA,"PRBI82",NA
"102",NA,"PRBI83",NA
"103",NA,"PRBI84",NA
"104",NA,"PRBI85",NA
"105",NA,"PRBI86",NA
"106",NA,"PRBI87",NA
"107",NA,"PRBI98",NA
"108",NA,"PRBI99",NA
