Sample,Marker,Reason
PRBI6,ACH_A11,redo
PRBI23,ACH_A11,redo
PRBI14,ACH_A11,redo
PRBI8,ACH_A11,redo
PRBI71,ACH_A11,redo
PRBI146,ACH_A11,redo
PRBI335,ACH_A11,redo
PRBI84,ACH_A11,redo
PRBI333,ACH_A11,redo
PRBI179,ACH_A11,redo
PRBI183,ACH_A11,redo
PRBI30,ACH_A11,redo
PRBI118,ACH_A11,redo
PRBI341,ACH_A11,redo
PRBI157,ACH_A11,redo
PRBI167,ACH_A11,redo
PRBI11,ACH_A11,redo
PRBI151,ACH_A11,redo
PRBI213,ACH_A11,redo
PRBI29,ACH_A11,redo
PRBI114,ACH_A4,redo
PRBI113,ACH_A4,redo
PRBI25,ACH_A4,redo
PRBI51,ACH_A4,redo
PRBI4,ACH_A4,redo
PRBI184,ACH_A4,redo
PRBI174,ACH_A4,redo
PRBI109,ACH_A4,redo
PRBI44,ACH_A4,redo
PRBI234,ACH_A4,redo
PRBI152,ACH_A4,redo
PRBI147,ACH_A4,redo
PRBI115,ACH_A4,redo
PRBI22,ACH_A4,redo
PRBI237,ACH_A4,redo
PRBI153,ACH_A4,redo
PRBI233,ACH_A4,redo
PRBI155,ACH_A4,redo
PRBI331,ACH_A4,redo
PRBI179,ACH_A4,redo
PRBI186,ACH_B9,redo
PRBI170,ACH_B9,redo
PRBI25,ACH_B9,redo
PRBI42,ACH_B9,redo
PRBI116,ACH_B9,redo
PRBI337,ACH_B9,redo
PRBI10,ACH_B9,redo
PRBI33,ACH_B9,redo
PRBI153,ACH_B9,redo
PRBI83,ACH_B9,redo
PRBI234,ACH_B9,redo
PRBI156,ACH_B9,redo
PRBI230,ACH_B9,redo
PRBI161,ACH_B9,redo
PRBI231,ACH_B9,redo
PRBI174,ACH_B9,redo
PRBI40,ACH_B9,redo
PRBI73,ACH_B9,redo
PRBI215,ACH_B9,redo
PRBI466,ACH_B9,redo
PRBI183,NNG_028,redo
PRBI115,NNG_028,redo
PRBI42,NNG_028,redo
PRBI325,NNG_028,redo
PRBI226,NNG_028,redo
PRBI24,NNG_028,redo
PRBI149,NNG_028,redo
PRBI152,NNG_028,redo
PRBI186,NNG_028,redo
PRBI324,NNG_028,redo
PRBI45,NNG_028,redo
PRBI331,NNG_028,redo
PRBI232,NNG_028,redo
PRBI330,NNG_028,redo
PRBI29,NNG_028,redo
PRBI117,NNG_028,redo
PRBI25,NNG_028,redo
PRBI4,NNG_028,redo
PRBI82,NNG_028,redo
PRBI174,NNG_028,redo
PRBI340,ACH_A3,redo
PRBI20,ACH_A3,redo
PRBI79,ACH_A3,redo
PRBI335,ACH_A3,redo
PRBI159,ACH_A3,redo
PRBI44,ACH_A3,redo
PRBI238,ACH_A3,redo
PRBI29,ACH_A3,redo
PRBI23,ACH_A3,redo
PRBI160,ACH_A3,redo
PRBI98,ACH_A3,redo
PRBI364,ACH_A3,redo
PRBI41,ACH_A3,redo
PRBI121,ACH_A3,redo
PRBI263,ACH_A3,redo
PRBI161,ACH_A3,redo
PRBI51,ACH_A3,redo
PRBI260,ACH_A3,redo
PRBI181,ACH_A3,redo
PRBI213,ACH_A3,redo
PRBI7,ACH_A7,redo
PRBI137,ACH_A7,redo
PRBI510,ACH_A7,redo
PRBI341,ACH_A7,redo
PRBI14,ACH_A7,redo
PRBI32,ACH_A7,redo
PRBI123,ACH_A7,redo
PRBI84,ACH_A7,redo
PRBI226,ACH_A7,redo
PRBI83,ACH_A7,redo
PRBI331,ACH_A7,redo
PRBI45,ACH_A7,redo
PRBI119,ACH_A7,redo
PRBI34,ACH_A7,redo
PRBI77,ACH_A7,redo
PRBI178,ACH_A7,redo
PRBI18,ACH_A7,redo
PRBI1,ACH_A7,redo
PRBI175,ACH_A7,redo
PRBI13,ACH_A7,redo
PRBI342,ACH_A8,redo
PRBI98,ACH_A8,redo
PRBI232,ACH_A8,redo
PRBI237,ACH_A8,redo
PRBI239,ACH_A8,redo
PRBI19,ACH_A8,redo
PRBI6,ACH_A8,redo
PRBI77,ACH_A8,redo
PRBI234,ACH_A8,redo
PRBI170,ACH_A8,redo
PRBI9,ACH_A8,redo
PRBI24,ACH_A8,redo
PRBI174,ACH_A8,redo
PRBI236,ACH_A8,redo
PRBI328,ACH_A8,redo
PRBI76,ACH_A8,redo
PRBI119,ACH_A8,redo
PRBI113,ACH_A8,redo
PRBI184,ACH_A8,redo
PRBI26,ACH_A8,redo
PRBI179,ACH_C1,redo
PRBI79,ACH_C1,redo
PRBI180,ACH_C1,redo
PRBI186,ACH_C1,redo
PRBI33,ACH_C1,redo
PRBI147,ACH_C1,redo
