Anemonefish partial data file 090208												
npops = 19												
nloci = 6												
	AC1359		APR_Cf29		APY_65		NNG_012		AC1578		APY_45	
pop = Handumon												
APCL21	122	123	109	110	126	128	56	58	127	127	12	17
APCL27	122	123	110	110	128	129	56	59	127	127	12	17
APCL28	122	125	106	107	128	128	56	58	127	127	12	12
APCL38	123	123	116	116	129	130	56	58	126	127	12	17
APCL39	122	123	116	116	126	129	56	56	127	127	12	17
APCL47	122	122	110	113	129	129	56	56	?	?	12	12
APCL48	122	122	116	116	126	129	56	56	?	?	12	16
pop = Santander												
APCL49	122	122	105	116	126	129	58	58	?	?	17	19
APCL50	122	123	106	109	126	128	56	58	127	127	12	15
APCL52	122	123	106	106	129	132	58	58	126	127	17	19
APCL53	122	122	106	116	128	128	56	56	127	127	17	17
APCL54	122	123	106	106	128	129	56	58	127	127	12	12
APCL55	123	123	107	107	129	131	56	56	127	127	12	17
APCL56	122	123	106	107	126	129	58	58	126	126	12	17
APCL57	122	122	106	107	126	129	58	58	?	?	17	17
APCL58	123	127	106	106	126	129	56	58	?	?	17	19
APCL59	122	123	106	108	126	129	56	57	127	127	12	12
APCL60	122	127	106	107	126	128	56	58	126	127	12	12
APCL61	122	122	109	116	128	129	58	58	127	129	12	12
APCL62	127	127	106	110	126	128	58	59	127	127	12	12
APCL63	122	127	104	106	129	129	57	59	127	127	17	19
APCL64	123	123	107	110	126	129	58	58	127	127	17	17
APCL65	122	124	105	105	128	129	56	56	?	?	?	?
APCL67	123	123	106	106	129	129	56	57	?	?	12	12
APCL68	122	123	106	106	126	129	58	59	127	127	12	17
APCL69	122	123	106	110	129	129	58	58	127	127	?	?
APCL70	122	122	106	106	129	129	58	58	126	127	12	17
pop = Boljoon												
APCL124	122	124	106	106	129	130	56	58	127	129	17	19
APCL125	122	122	106	106	129	129	56	58	127	127	12	17
APCL126	122	123	109	109	126	129	56	58	127	127	12	12
APCL127	122	122	106	116	126	128	58	58	?	?	?	?
APCL128	123	127	106	116	126	128	58	59	?	?	12	12
APCL129	122	123	105	105	125	129	58	58	127	127	17	17
APCL130	122	123	106	106	126	129	58	58	126	127	14	17
APCL131	122	125	107	110	128	132	56	56	126	127	12	19
APCL132	122	122	116	116	125	126	56	58	127	127	12	18
APCL133	123	125	106	106	126	129	56	56	127	127	17	17
APCL134	123	125	105	106	126	129	56	56	127	127	12	17
APCL135	122	123	106	110	125	126	56	56	127	127	12	13
APCL136	122	123	106	110	126	129	56	56	127	127	13	19
APCL139	122	122	106	110	129	129	56	56	127	127	12	17
APCL140	122	122	107	109	126	130	56	58	128	130	12	12
APCL141	?	?	109	116	126	129	58	58	127	127	13	17
APCL142	122	124	106	110	128	129	56	58	126	127	12	12
APCL143	122	123	105	105	128	129	56	58	127	127	12	19
APCL144	122	123	106	106	128	129	56	58	127	127	12	17
APCL145	122	127	106	106	?	?	56	56	127	129	12	19
pop = Argao												
APCL100	122	122	104	116	128	129	58	58	127	127	12	12
APCL101	122	122	107	116	128	129	56	58	127	129	13	19
APCL102	122	122	106	106	126	129	56	58	127	127	12	17
APCL103	122	123	106	106	129	132	58	58	?	?	12	12
APCL104	122	125	107	109	126	129	56	58	126	127	12	17
APCL105	122	122	106	116	126	128	56	58	127	127	12	17
APCL106	125	127	106	106	129	129	56	58	126	127	12	17
APCL107	122	123	111	116	128	129	56	58	127	129	12	17
APCL108	123	123	107	116	126	126	58	58	126	127	17	19
APCL111	122	124	109	110	125	132	58	58	127	129	12	16
APCL88	122	122	108	116	126	128	58	58	127	127	17	17
APCL89	123	125	106	112	129	131	56	58	126	127	12	12
APCL90	123	123	105	109	126	126	56	58	127	127	12	17
APCL91	116	123	110	110	129	129	56	56	127	130	12	17
APCL92	122	122	106	113	126	129	56	58	127	129	12	15
APCL93	122	123	106	108	128	129	56	58	127	127	12	18
APCL94	122	123	107	110	126	129	56	58	127	127	12	12
APCL95	123	123	106	107	126	129	56	56	127	127	17	17
APCL96	122	123	106	108	?	?	56	56	127	127	12	12
APCL97	122	123	106	116	126	128	58	58	127	127	17	17
pop = Carcar												
APCL199	122	122	105	116	126	129	56	58	127	127	12	17
APCL200	123	125	106	106	128	129	56	56	127	127	17	19
APCL201	122	122	106	109	126	129	56	58	?	?	12	19
APCL202	122	123	104	111	126	129	56	58	127	127	12	17
APCL203	122	123	106	110	128	129	56	56	127	129	12	12
APCL204	122	123	106	109	129	129	56	58	127	127	13	17
APCL205	122	122	106	110	126	128	56	58	127	127	17	17
APCL206	125	125	107	116	126	129	57	58	?	?	12	12
APCL207	122	122	105	107	128	128	56	56	127	127	12	17
APCL208	122	123	105	106	129	129	56	56	126	127	12	17
APCL212	122	122	106	107	126	129	58	58	127	127	17	17
APCL217	123	123	106	106	128	128	56	58	127	127	?	?
APCL218	122	124	106	108	126	129	56	58	127	129	12	19
APCL219	122	123	110	110	129	129	58	58	127	127	12	19
APCL220	122	123	106	107	128	129	58	58	127	129	12	17
APCL221	122	124	106	106	128	129	56	56	127	127	17	17
APCL222	122	123	106	116	126	129	58	58	?	?	?	?
APCL223	121	121	116	116	125	125	56	58	127	127	17	17
APCL224	122	123	101	106	125	128	56	59	?	?	?	?
APCL225	122	122	106	108	126	129	56	56	?	?	12	17
pop = Minglanilla												
APCL162	122	123	106	107	128	129	58	59	127	127	?	?
APCL163	122	122	104	107	129	129	56	58	127	128	17	19
APCL165	122	122	109	116	126	126	56	59	127	127	12	17
APCL166	123	123	106	109	126	129	57	58	127	127	12	17
APCL171	123	123	106	110	125	132	56	58	127	129	12	12
APCL172	123	123	108	110	126	128	56	56	127	130	12	12
APCL173	122	125	106	106	126	128	58	58	126	127	12	19
APCL176	122	123	106	106	126	129	56	58	126	127	?	?
APCL177	123	123	106	106	128	131	56	56	127	127	17	17
APCL182	122	123	106	116	126	132	58	58	127	127	12	17
APCL187	122	123	106	110	131	131	56	58	127	127	12	19
APCL190	122	122	106	109	126	126	56	56	127	127	12	17
APCL191	122	122	104	106	129	129	56	56	127	127	17	17
APCL192	122	125	105	110	126	129	58	59	126	127	12	17
APCL193	122	123	106	116	130	132	56	58	127	127	13	17
APCL194	122	125	106	106	126	129	56	58	?	?	12	19
APCL195	122	123	106	108	128	129	56	57	?	?	12	14
APCL196	122	122	105	110	129	129	56	58	127	127	12	17
APCL197	122	122	106	110	126	129	56	56	?	?	?	?
APCL198	122	122	106	106	126	129	56	56	127	127	12	12
pop = Danao												
