"","Leyte_b","Leyte_r","Leyte_r2","Leyte_p","Cebu_b","Cebu_r","Cebu_r2","Cebu_p"
"noAC1359",4.24654563561345e-05,0.346369246280968,0.138611979261517,0.057,9.12619191887152e-06,0.181945565095647,0.0149912658275820,0.124
"noAC1578",7.32543387171992e-05,0.517647956981322,0.288400215554032,0.022,7.93063045658753e-06,0.186433905230350,0.0108801523067635,0.094
"noAC915",7.9114707975501e-05,0.553204070042495,0.335964422921739,0.011,9.11879303402303e-06,0.200250577847592,0.0164670966977778,0.114
"noACH_B6",8.41926500514642e-05,0.553820137744689,0.348655658165983,0.018,9.48549301617405e-06,0.212805340344026,0.0185243629430668,0.094
"noACH_C1",7.44167980725626e-05,0.501187607172353,0.283536166195794,0.026,7.53168696921466e-06,0.169034624103999,0.0100518534334348,0.148
"noACH_D1",8.1679402732082e-05,0.534432642014824,0.314957507160571,0.019,3.582885573355e-06,0.134196666247989,0.00228355890697198,0.198
"noAPR_Cf29",8.41939195068476e-05,0.541938408751646,0.343719652305511,0.011,3.87528802983902e-06,0.128033868523119,0.00270176322986153,0.22
"noAPR_Cf8",8.36359998401198e-05,0.586223755995174,0.342072389968471,0.012,9.48153117358752e-06,0.164907440397935,0.0159382590677956,0.143
"noAPY_45",7.51872032487554e-05,0.591231349665874,0.374698214671134,0.007,1.32506173759531e-05,0.257655762122719,0.0286835360518902,0.057
"noAPY_65",8.99921329236062e-05,0.576848361391537,0.367282307840592,0.01,1.17417291236026e-05,0.257038985620299,0.0268383616259531,0.053
"noNNG_004",8.04323077827038e-05,0.545985005691715,0.339284242800223,0.007,9.02005439845823e-06,0.229977144264289,0.0168301686882986,0.082
"noNNG_012",7.79954127193123e-05,0.576030122359622,0.371370865386591,0.009,2.61287912773316e-06,0.131039320160772,0.00180446404553063,0.201
"noNNG_028",8.45835026359004e-05,0.61165464675857,0.398172485125683,0.009,8.11699626363419e-06,0.153019082330796,0.0118247716713784,0.178
