"","Leyte_b","Leyte_r","Leyte_r2","Leyte_p","Cebu_b","Cebu_r","Cebu_r2","Cebu_p"
"noAC1359",4.33964520275569e-05,0.35117046703303,0.222339889925258,0.048,1.31844152663789e-05,0.174490728409372,0.071249040440069,0.149
"noAC1578",6.51175257252304e-05,0.450541349418921,0.291855387579935,0.025,1.36883373482501e-05,0.199629285051399,0.0794231837717924,0.106
"noAC915",7.02411263608041e-05,0.486779942043715,0.334126774186632,0.018,1.34868297835450e-05,0.204582948009384,0.08194434216039,0.103
"noACH_B6",7.57620522579588e-05,0.494122241722769,0.344875611165571,0.032,1.23877885801272e-05,0.206924187239708,0.0862256743071783,0.107
"noACH_C1",6.53319613646114e-05,0.421046838878738,0.269876485288545,0.044,1.35961812651372e-05,0.183877087695126,0.0686929435114425,0.12
"noACH_D1",7.21037523878068e-05,0.461093012750983,0.308278069520847,0.026,1.12149032867953e-05,0.154464315950903,0.0593273959712620,0.172
"noAPR_Cf29",7.63289814254667e-05,0.4952489801568,0.358118477913961,0.022,1.10015034333848e-05,0.143155315975420,0.0501175371573467,0.157
"noAPR_Cf8",7.37453984599305e-05,0.510544567221644,0.332678891726566,0.011,1.49248036955684e-05,0.194989668464984,0.0843695025562088,0.104
"noAPY_45",6.54042011514565e-05,0.522759092603029,0.382570936170104,0.014,1.62145391827379e-05,0.254759006785470,0.103848054245527,0.075
"noAPY_65",8.07243215367132e-05,0.515892041929002,0.363870492592119,0.016,1.53021846414760e-05,0.262155275815338,0.104119559177075,0.069
"noNNG_004",7.19819459330897e-05,0.483206522676087,0.335939692127898,0.026,1.21636247977421e-05,0.202725846611381,0.0792225806848699,0.117
"noNNG_012",6.90545406801506e-05,0.524441150974039,0.394132959662954,0.021,7.70737669931898e-06,0.118758869367670,0.0518802249781454,0.232
"noNNG_028",7.40282024877827e-05,0.548676727585173,0.407183586258108,0.008,1.37733304115787e-05,0.174259587886046,0.0707928527424263,0.14
